workerid,gender,age,income,categoryID,order,animal,featureNum,alternative,1,2,3,4,5,6,7,8
A1BDZFVHI4LH44,M,25,4,11,16,duck,3,donkey,1,0.875,0.15,0,0.9,0.75,0,0
A1BDZFVHI4LH44,M,25,4,14,17,fox,3,cat,1,0.225,0.9,0.175,0.6,0.025,0.6,0
A1BDZFVHI4LH44,M,25,4,29,18,tiger,3,bear,0.975,0.775,0.85,0.775,0,0,0,0
A1BDZFVHI4LH44,M,25,4,18,19,horse,2,ox,0.975,0.4,0.75,0.225,0.875,0.375,0.675,0.05
A1BDZFVHI4LH44,M,25,4,16,20,goat,3,elephant,0.225,0.575,0.8,0.35,0.95,0.55,0.975,0.35
A3TSHG5R492EHU,M,35,11,2,1,bat,2,mouse,0.7,0.3,0.7,0.2,0.275,0.45,0.45,0.35
A3TSHG5R492EHU,M,35,11,7,2,cat,3,rabbit,0.8,0.3,0.7,0.225,0.25,0.25,0.225,0.225
A3TSHG5R492EHU,M,35,11,32,3,zebra,3,gazelle,1,0.05,0.625,0.05,0.025,0.025,0.025,0.025
A3TSHG5R492EHU,M,35,11,1,4,ant,2,ox,0.6,0.4,0.225,0.15,0,0,0,0.025
A3TSHG5R492EHU,M,35,11,1,5,ant,3,bee,0.975,0.05,0.05,0.025,0.025,0.025,0.025,0.025
A3TSHG5R492EHU,M,35,11,30,6,whale,1,hippo,0.75,0.15,0.125,0.05,0,0,0,0
A3TSHG5R492EHU,M,35,11,16,7,goat,2,lion,0.575,0.425,0.2,0,0.05,0.05,0.05,0.025
A3TSHG5R492EHU,M,35,11,22,8,owl,1,elephant,1,0.45,0.4,0.35,0,0.025,0.025,0.025
A3TSHG5R492EHU,M,35,11,25,9,pig,1,rat,0.8,0.725,0.5,0.4,0.225,0.175,0.15,0.15
A3TSHG5R492EHU,M,35,11,21,10,monkey,2,dolphin,0.6,0.725,0.6,0.575,0.175,0.1,0.075,0.075
A3TSHG5R492EHU,M,35,11,6,11,buffalo,3,boar,1,0.225,0.225,0.175,0.025,0.025,0.025,0.025
A3TSHG5R492EHU,M,35,11,18,12,horse,3,peacock,0.625,0.225,0.225,0.025,0.05,0.05,0.025,0.025
A3TSHG5R492EHU,M,35,11,24,13,penguin,1,snake,0.85,0.375,0.2,0.1,0.025,0.025,0.025,0.025
A3TSHG5R492EHU,M,35,11,23,14,ox,3,turtle,0.65,0.575,0.55,0.15,0.125,0.075,0.05,0.05
A3TSHG5R492EHU,M,35,11,6,15,buffalo,1,elephant,0.65,0.525,0.25,0.1,0.05,0.05,0.05,0.05
A3TSHG5R492EHU,M,35,11,3,16,bear,2,whale,0.6,0.425,0.3,0.075,0.075,0.075,0.05,0.05
A3TSHG5R492EHU,M,35,11,15,17,frog,2,dog,0.85,0.1,0.075,0.075,0.05,0.05,0.05,0.05
A3TSHG5R492EHU,M,35,11,23,18,ox,2,bear,0.875,0.325,0.15,0.125,0.075,0.1,0.1,0.075
A3TSHG5R492EHU,M,35,11,32,19,zebra,2,peacock,0.95,0.3,0.725,0.3,0.025,0,0,0.025
A3TSHG5R492EHU,M,35,11,19,20,kangaroo,1,frog,0.9,0.85,0.65,0.375,0.525,0.225,0.225,0.175
A3DD4SU4G1K15J,F,35,4,16,1,goat,1,hyena,1,0.275,0.725,0.05,0.725,0.275,0.7,0.25
A3DD4SU4G1K15J,F,35,4,24,2,penguin,2,kitten,0.975,0.725,0.5,0.5,0.275,0.275,0.05,0.025
A3DD4SU4G1K15J,F,35,4,8,3,cow,3,cat,0.275,0.275,0.75,0.5,0.3,0.3,0.5,0.05
A3DD4SU4G1K15J,F,35,4,12,4,elephant,2,dolphin,0.975,0.025,0.05,0.05,0.5,0.275,0.025,0.025
A3DD4SU4G1K15J,F,35,4,4,5,bee,1,beaver,0.725,0.725,0.725,0.725,0.15,0.125,0.125,0.125
A3DD4SU4G1K15J,F,35,4,11,6,duck,3,donkey,0.725,0.75,0.7,0.725,0,0.025,0.05,0.025
A3DD4SU4G1K15J,F,35,4,16,7,goat,3,dog,0.975,0.25,0.725,0.275,0.725,0.3,0.5,0.5
A3DD4SU4G1K15J,F,35,4,14,8,fox,3,cat,0.975,0.75,0.275,0.275,0.5,0.5,0.025,0.025
A3DD4SU4G1K15J,F,35,4,32,9,zebra,1,tiger,0.75,0.725,0.75,0.725,0.025,0.05,0.025,0.05
A3DD4SU4G1K15J,F,35,4,32,10,zebra,3,gazelle,0.75,0.725,0.75,0.75,0.025,0.025,0.025,0.025
A3DD4SU4G1K15J,F,35,4,10,11,dolphin,2,cat,0.95,0.75,0.725,0.725,0.05,0.025,0.025,0.025
A3DD4SU4G1K15J,F,35,4,10,12,dolphin,1,dog,0.95,0.95,0.725,0.725,0.025,0.025,0.05,0.025
A3DD4SU4G1K15J,F,35,4,3,13,bear,3,tiger,0.75,0.725,0.725,0.725,0.725,0.725,0.75,0.725
A3DD4SU4G1K15J,F,35,4,2,14,bat,1,snake,0.725,0.15,0.125,0.05,0.975,0.175,0.2,0.025
A3DD4SU4G1K15J,F,35,4,16,15,goat,2,hippo,0.95,0.275,0.725,0.275,0.75,0.275,0.75,0.025
A3DD4SU4G1K15J,F,35,4,19,16,kangaroo,2,rabbit,0.725,0.275,0.025,0.025,0.025,0.025,0.025,0.05
A3DD4SU4G1K15J,F,35,4,19,17,kangaroo,3,puppy,0.725,0.725,0,0,0.025,0.025,0.025,0.025
A3DD4SU4G1K15J,F,35,4,28,18,sheep,2,cat,0.6,0.675,0.025,0.025,0.2,0.175,0,0.025
A3DD4SU4G1K15J,F,35,4,20,19,lion,1,bear,0.85,0.6,0.8,0.625,0.6,0.625,0.6,0.6
A3DD4SU4G1K15J,F,35,4,20,20,lion,3,ox,0.85,0.825,0.625,0.6,0.6,0.6,0.6,0.6
A2WXCAHI446JMZ,M,65,11,21,1,monkey,2,cat,0.95,0.075,0.075,0.05,0.05,0.05,0.075,0.025
A2WXCAHI446JMZ,M,65,11,3,2,bear,2,whale,0.975,0.5,0.5,0.5,0.075,0.075,0.075,0.05
A2WXCAHI446JMZ,M,65,11,13,3,fish,1,lizard,0.95,0.5,0.3,0.225,0.925,0.375,0.25,0.125
A2WXCAHI446JMZ,M,65,11,24,4,penguin,3,hyena,0.95,0.725,0.5,0.375,0.1,0.05,0.075,0.075
A2WXCAHI446JMZ,M,65,11,29,5,tiger,2,wolf,0.975,0.1,0.075,0.075,0.05,0.05,0.05,0.025
A2WXCAHI446JMZ,M,65,11,13,6,fish,1,snake,0.975,0.5,0.5,0.25,0.75,0.35,0.2,0.075
A2WXCAHI446JMZ,M,65,11,16,7,goat,3,dog,0.95,0.7,0.5,0.45,0.225,0.175,0.125,0.075
A2WXCAHI446JMZ,M,65,11,25,8,pig,2,cat,0.95,0.425,0.4,0.225,0.75,0.75,0.2,0.475
A2WXCAHI446JMZ,M,65,11,32,9,zebra,2,peacock,0.975,0.75,0.5,0.275,0.15,0.15,0.15,0.15
A2WXCAHI446JMZ,M,65,11,20,10,lion,3,gorilla,0.975,0.15,0.525,0.125,0.1,0.075,0.05,0.025
A2WXCAHI446JMZ,M,65,11,7,11,cat,3,rabbit,0.925,0.9,0.725,0.725,0.2,0.2,0.15,0.15
A2WXCAHI446JMZ,M,65,11,32,12,zebra,1,tiger,0.975,0.9,0.625,0.575,0.05,0.05,0.05,0.05
A2WXCAHI446JMZ,M,65,11,6,13,buffalo,2,ox,0.975,0.5,0.5,0.25,0.375,0.225,0.2,0.125
A2WXCAHI446JMZ,M,65,11,30,14,whale,1,elephant,0.975,0.225,0.6,0.225,0.5,0.3,0.15,0.075
A2WXCAHI446JMZ,M,65,11,10,15,dolphin,1,cat,0.975,0.8,0.8,0.625,0.3,0.3,0.3,0.275
A2WXCAHI446JMZ,M,65,11,26,16,rabbit,2,bear,0.975,0.975,0.975,0.975,0.625,0.6,0.575,0.525
A2WXCAHI446JMZ,M,65,11,25,17,pig,1,rat,0.975,0.5,0.7,0.5,0.525,0.8,0.5,0.775
A2WXCAHI446JMZ,M,65,11,13,18,fish,3,skunk,0.95,0.425,0.575,0.4,0.775,0.6,0.3,0.3
A2WXCAHI446JMZ,M,65,11,23,19,ox,1,lion,1,0.825,0.275,0.25,0.5,0.5,0.15,0.075
A2WXCAHI446JMZ,M,65,11,29,20,tiger,2,lion,0.975,0.15,0.125,0.1,0.3,0.125,0.1,0.075
A3QSJY1FFN0N6V,F,35,10,17,1,goose,2,lion,0.725,0.275,0.725,0.25,0.05,0.05,0.05,0.05
A3QSJY1FFN0N6V,F,35,10,8,2,cow,1,pig,0.05,0.05,0.975,0.275,0.05,0.05,0.275,0.275
A3QSJY1FFN0N6V,F,35,10,21,3,monkey,3,kitten,0.975,0.275,0.075,0.05,0.725,0.275,0.05,0.05
A3QSJY1FFN0N6V,F,35,10,30,4,whale,2,swan,0.95,0.275,0.725,0.275,0.275,0.275,0.725,0.25
A3QSJY1FFN0N6V,F,35,10,19,5,kangaroo,2,frog,0.95,0.275,0.5,0.5,0.725,0.3,0.5,0.5
A3QSJY1FFN0N6V,F,35,10,4,6,bee,3,lion,0.725,0.95,0.275,0.7,0.275,0.275,0.5,0.5
A3QSJY1FFN0N6V,F,35,10,22,7,owl,3,bat,0.95,0.1,0.725,0.05,0.5,0.05,0.725,0.05
A3QSJY1FFN0N6V,F,35,10,6,8,buffalo,1,elephant,0.95,0.275,0.25,0.275,0.7,0.275,0.675,0.25
A3QSJY1FFN0N6V,F,35,10,11,9,duck,2,kitten,0.95,0.275,0.725,0.3,0.275,0.275,0.075,0.275
A3QSJY1FFN0N6V,F,35,10,6,10,buffalo,2,ox,0.95,0.275,0.725,0.275,0.725,0.275,0.725,0.275
A3QSJY1FFN0N6V,F,35,10,14,11,fox,1,snake,0.725,0.275,0.275,0.275,0.5,0.5,0.5,0.5
A3QSJY1FFN0N6V,F,35,10,28,12,sheep,3,ox,0.725,0.975,0.025,0.05,0.275,0.275,0.05,0.025
A3QSJY1FFN0N6V,F,35,10,32,13,zebra,2,bird,0.95,0.275,0.95,0.275,0.05,0.05,0.05,0.025
A3QSJY1FFN0N6V,F,35,10,26,14,rabbit,1,gazelle,0.975,0.275,0.275,0.275,0.05,0.05,0.025,0.025
A3QSJY1FFN0N6V,F,35,10,20,15,lion,3,ox,0.975,0.25,0.725,0.275,0.725,0.275,0.725,0.275
A3QSJY1FFN0N6V,F,35,10,15,16,frog,1,slug,0.95,0.7,0.7,0.725,0.275,0.275,0.25,0.3
A3QSJY1FFN0N6V,F,35,10,9,17,dog,1,eagle,0.975,0.725,0.725,0.725,0.275,0.275,0.275,0.275
A3QSJY1FFN0N6V,F,35,10,5,18,bird,2,gazelle,0.975,0.95,0.3,0.275,0.725,0.725,0.275,0.275
A3QSJY1FFN0N6V,F,35,10,13,19,fish,3,skunk,0.975,0.05,0.75,0.025,0.95,0.05,0.75,0.05
A3QSJY1FFN0N6V,F,35,10,26,20,rabbit,1,cheetah,0.95,0.3,0.3,0.275,0.05,0.05,0.05,0.05
AO3XB5I5QNNUI,F,65,4,29,1,tiger,3,snake,0.95,0.025,0.275,0.2,0.2,0.2,0.05,0.025
AO3XB5I5QNNUI,F,65,4,28,2,sheep,3,dog,0.975,0.375,0.275,0.225,0.15,0.1,0.075,0
AO3XB5I5QNNUI,F,65,4,4,3,bee,2,mouse,0.975,0.725,0.575,0.4,0.3,0.2,0.1,0
AO3XB5I5QNNUI,F,65,4,25,4,pig,2,hippo,0.975,0.875,0.75,0.65,0.55,0.425,0.275,0.025
AO3XB5I5QNNUI,F,65,4,30,5,whale,2,swan,1,0.8,0.7,0.6,0.475,0.4,0.175,0.025
AO3XB5I5QNNUI,F,65,4,27,6,shark,1,snake,0.975,0.7,0.6,0.475,0.35,0.25,0.125,0.025
AO3XB5I5QNNUI,F,65,4,13,7,fish,1,lizard,0.975,0.85,0.75,0.65,0.5,0.35,0.2,0
AO3XB5I5QNNUI,F,65,4,12,8,elephant,1,whale,0.975,0.825,0.725,0.6,0.5,0.375,0.2,0.025
AO3XB5I5QNNUI,F,65,4,15,9,frog,2,bird,0.975,0.875,0.725,0.5,0.4,0.325,0.25,0.025
AO3XB5I5QNNUI,F,65,4,8,10,cow,2,ox,1,0.85,0.75,0.65,0.5,0.4,0.25,0
AO3XB5I5QNNUI,F,65,4,6,11,buffalo,1,bear,0.975,0.85,0.75,0.625,0.5,0.35,0.225,0
AO3XB5I5QNNUI,F,65,4,9,12,dog,3,cat,0.975,0.875,0.8,0.65,0.5,0.375,0.175,0.025
AO3XB5I5QNNUI,F,65,4,29,13,tiger,1,zebra,0.975,0.85,0.625,0.5,0.375,0.3,0.2,0
AO3XB5I5QNNUI,F,65,4,22,14,owl,1,dolphin,1,0.875,0.725,0.575,0.4,0.2,0.125,0.025
AO3XB5I5QNNUI,F,65,4,28,15,sheep,1,mammoth,1,0.85,0.725,0.6,0.425,0.275,0.175,0
AO3XB5I5QNNUI,F,65,4,7,16,cat,3,rabbit,0.975,0.875,0.725,0.55,0.425,0.3,0.175,0
AO3XB5I5QNNUI,F,65,4,8,17,cow,1,pig,0.975,0.85,0.7,0.6,0.5,0.4,0.3,0
AO3XB5I5QNNUI,F,65,4,11,18,duck,3,donkey,1,0.825,0.8,0.675,0.575,0.55,0.3,0.025
AO3XB5I5QNNUI,F,65,4,20,19,lion,1,bear,0.975,0.85,0.8,0.8,0.675,0.5,0.15,0
AO3XB5I5QNNUI,F,65,4,3,20,bear,3,lion,0.975,0.725,0.7,0.5,0.5,0.175,0.175,0.025
A3BI0AX5T5GVO3,F,17,4,29,1,tiger,3,snake,0.95,0.75,0.725,0.65,0.55,0.35,0.15,0.025
A3BI0AX5T5GVO3,F,17,4,18,2,horse,1,cheetah,0.875,0.725,0.725,0.675,0.525,0.5,0.225,0
A3BI0AX5T5GVO3,F,17,4,24,3,penguin,1,polar bear,0.975,0.775,0.725,0.7,0.65,0.5,0.35,0
A3BI0AX5T5GVO3,F,17,4,27,4,shark,3,cat,0.975,0.875,0.75,0.75,0.75,0.475,0.275,0.025
A3BI0AX5T5GVO3,F,17,4,3,5,bear,2,whale,0.925,0.8,0.725,0.7,0.6,0.5,0.35,0
A3BI0AX5T5GVO3,F,17,4,32,6,zebra,1,tiger,0.9,0.85,0.725,0.65,0.3,0.275,0.275,0
A3BI0AX5T5GVO3,F,17,4,31,7,wolf,3,bull,0.875,0.775,0.775,0.725,0.5,0.5,0.3,0.025
A3BI0AX5T5GVO3,F,17,4,19,8,kangaroo,1,rabbit,0.95,0.725,0.725,0.5,0.5,0.425,0.275,0
A3BI0AX5T5GVO3,F,17,4,30,9,whale,2,gazelle,1,0.9,0.725,0.5,0.5,0.275,0.275,0.025
A3BI0AX5T5GVO3,F,17,4,5,10,bird,3,mouse,1,0.725,0.725,0.625,0.5,0.5,0.5,0.475
A3BI0AX5T5GVO3,F,17,4,30,11,whale,1,elephant,0.975,0.875,0.725,0.725,0.725,0.3,0.25,0
A3BI0AX5T5GVO3,F,17,4,11,12,duck,1,dog,0.95,0.9,0.925,0.875,0.5,0.5,0.5,0.5
A3BI0AX5T5GVO3,F,17,4,7,13,cat,2,sloth,1,0.725,0.975,0.725,0.725,0.5,0.725,0.5
A3BI0AX5T5GVO3,F,17,4,12,14,elephant,2,cat,0.975,0.725,0.725,0.75,0.5,0.5,0.5,0.5
A3BI0AX5T5GVO3,F,17,4,3,15,bear,3,lion,1,0.725,0.725,0.725,0.5,0.5,0.5,0.275
A3BI0AX5T5GVO3,F,17,4,21,16,monkey,3,dog,0.975,0.725,0.5,0.275,0.725,0.5,0.525,0.275
A3BI0AX5T5GVO3,F,17,4,9,17,dog,2,dolphin,0.975,0.725,0.725,0.725,0.725,0.725,0.5,0.5
A3BI0AX5T5GVO3,F,17,4,15,18,frog,2,dog,0.875,0.9,0.95,0.875,0.725,0.725,0.5,0.25
A3BI0AX5T5GVO3,F,17,4,28,19,sheep,3,dog,0.975,0.85,0.5,0.5,0.5,0.775,0.275,0.5
A3BI0AX5T5GVO3,F,17,4,32,20,zebra,3,gazelle,0.95,0.6,0.975,0.625,0.5,0.275,0.5,0.25
A34DJMHLTNMGBP,M,25,4,15,1,frog,2,bird,0.9,0.7,0.525,0.275,0.45,0.475,0.55,0.7
A34DJMHLTNMGBP,M,25,4,29,2,tiger,3,bear,1,0,0.325,0.7,0.6,0.625,0.375,0.65
A34DJMHLTNMGBP,M,25,4,5,3,bird,3,hamster,0.95,0.975,1,0.975,0.575,0.575,0.55,0.525
A34DJMHLTNMGBP,M,25,4,9,4,dog,3,cat,1,0.625,0.65,0.4,0.425,0.4,0.3,0.3
A34DJMHLTNMGBP,M,25,4,24,5,penguin,2,kitten,1,0.975,0.55,0.575,0.325,0.2,0.15,0.025
A34DJMHLTNMGBP,M,25,4,19,6,kangaroo,3,puppy,0.85,0.325,0.4,0.4,0.575,0.575,0.575,0.675
A34DJMHLTNMGBP,M,25,4,12,7,elephant,1,whale,0.25,0.275,0.7,0.15,0.675,0.6,0.3,0.45
A34DJMHLTNMGBP,M,25,4,20,8,lion,3,gorilla,0.975,0.725,0.9,0.125,0.025,0.175,0.025,0
A34DJMHLTNMGBP,M,25,4,20,9,lion,1,tiger,1,0.625,0.775,0.75,0,0.05,0.025,0
A34DJMHLTNMGBP,M,25,4,8,10,cow,2,dog,0.9,0.475,0.4,0.375,0.4,0.35,0.225,0.3
A34DJMHLTNMGBP,M,25,4,12,11,elephant,3,hippo,0.275,0.35,0.275,0.35,0.35,0.275,0.375,0.325
A34DJMHLTNMGBP,M,25,4,32,12,zebra,2,peacock,0.775,0.65,0.55,0.625,0.275,0.225,0.15,0.1
A34DJMHLTNMGBP,M,25,4,19,13,kangaroo,2,rabbit,0.675,0.675,0.7,0.65,0.275,0.25,0.4,0.175
A34DJMHLTNMGBP,M,25,4,3,14,bear,2,elephant,1,0.875,1,0.775,0.275,0.25,0.15,0.225
A34DJMHLTNMGBP,M,25,4,26,15,rabbit,1,cheetah,1,0.8,0.6,0.675,0.25,0.325,0.25,0.075
A34DJMHLTNMGBP,M,25,4,12,16,elephant,1,giraffe,0.575,0.375,0.375,0.275,0.675,0.65,0.6,0.4
A34DJMHLTNMGBP,M,25,4,8,17,cow,2,ox,0.675,0.4,0.7,0.35,0.4,0.175,0.65,0.35
A34DJMHLTNMGBP,M,25,4,28,18,sheep,2,rabbit,1,0.8,0.975,0.675,0.225,0.325,0.15,0.325
A34DJMHLTNMGBP,M,25,4,17,19,goose,2,lion,1,0.75,0.8,0.7,0.425,0.275,0.325,0.375
A34DJMHLTNMGBP,M,25,4,17,20,goose,1,elephant,0.975,0.8,1,0.8,0.375,0.25,0.375,0.25
A1CUIXBXPIWQQL,M,35,6,32,1,zebra,1,tiger,1,0.275,0.5,0.5,0.25,0.25,0.275,0.25
A1CUIXBXPIWQQL,M,35,6,15,2,frog,1,snake,1,0.7,0.3,0.3,0.275,0.275,0.25,0.275
A1CUIXBXPIWQQL,M,35,6,29,3,tiger,3,bear,0.975,0.75,0.7,0.725,0.275,0.275,0.275,0.275
A1CUIXBXPIWQQL,M,35,6,29,4,tiger,3,snake,0.95,0.8,0.75,0.7,0.3,0.225,0.275,0.275
A1CUIXBXPIWQQL,M,35,6,24,5,penguin,3,hyena,1,0.875,0.75,0.725,0.375,0.275,0.3,0.275
A1CUIXBXPIWQQL,M,35,6,29,6,tiger,2,lion,1,0.725,0.725,0.75,0.35,0.3,0.3,0.275
A1CUIXBXPIWQQL,M,35,6,4,7,bee,1,ant,1,0.8,0.8,0.8,0.6,0.375,0.25,0.25
A1CUIXBXPIWQQL,M,35,6,15,8,frog,3,kangaroo,1,0.875,0.8,0.725,0.25,0.3,0.225,0.3
A1CUIXBXPIWQQL,M,35,6,16,9,goat,2,hippo,0.875,0.85,0.775,0.575,0.425,0.275,0.275,0.275
A1CUIXBXPIWQQL,M,35,6,7,10,cat,1,cheetah,1,0.175,0.85,0.225,0.675,0.25,0.725,0.275
A1CUIXBXPIWQQL,M,35,6,23,11,ox,3,turtle,1,0.825,0.825,0.825,0.425,0.325,0.3,0.3
A1CUIXBXPIWQQL,M,35,6,21,12,monkey,3,dog,1,0.75,1,0.725,0.6,0.6,0.6,0.575
A1CUIXBXPIWQQL,M,35,6,31,13,wolf,3,bull,1,0.725,0.8,0.7,0.675,0.625,0.775,0.65
A1CUIXBXPIWQQL,M,35,6,11,14,duck,2,kitten,1,0.875,0.85,0.9,0.65,0.725,0.65,0.725
A1CUIXBXPIWQQL,M,35,6,22,15,owl,3,snake,0.8,0.275,0.8,0.175,0.85,0.225,0.825,0.25
A1CUIXBXPIWQQL,M,35,6,17,16,goose,3,dog,1,0.825,1,0.8,0.625,0.625,0.725,0.6
A1CUIXBXPIWQQL,M,35,6,13,17,fish,2,seal,1,0.775,0.275,0.2,0.7,0.7,0.25,0.225
A1CUIXBXPIWQQL,M,35,6,30,18,whale,3,lion,0.85,0.675,0.85,0.725,0.2,0.325,0.25,0.275
A1CUIXBXPIWQQL,M,35,6,14,19,fox,2,dolphin,1,0.85,0.7,0.65,0.3,0.3,0.3,0.3
A1CUIXBXPIWQQL,M,35,6,1,20,ant,1,mouse,0.875,0.25,0.575,0.325,0.825,0.3,0.625,0.25
A20MXDUP9U2UPE,F,35,4,17,1,goose,1,dog,0.1,0.15,0.3,0.6,0.25,0.25,0.475,0.75
A20MXDUP9U2UPE,F,35,4,12,2,elephant,1,whale,0.5,0.025,0.975,0.05,0.075,0.1,0.025,0.05
A20MXDUP9U2UPE,F,35,4,17,3,goose,3,dog,0.125,0.35,0.5,0.65,0.55,0.475,0.525,0.8
A20MXDUP9U2UPE,F,35,4,18,4,horse,2,ox,0.95,0.7,0.525,0.4,0.725,0.65,0.45,0.2
A20MXDUP9U2UPE,F,35,4,6,5,buffalo,3,lion,0.975,0.275,0.225,0.225,0.225,0.275,0.35,0.275
A20MXDUP9U2UPE,F,35,4,20,6,lion,3,ox,0.975,0.15,0.375,0.2,0.475,0.375,0.325,0.35
A20MXDUP9U2UPE,F,35,4,25,7,pig,1,rat,0.975,0.4,0.4,0.3,0.525,0.3,0.425,0.275
A20MXDUP9U2UPE,F,35,4,9,8,dog,1,eagle,0.95,0.725,0.925,0.725,0.3,0.3,0.275,0.3
A20MXDUP9U2UPE,F,35,4,23,9,ox,1,gorilla,0.95,0.65,0.575,0.4,0.875,0.475,0.25,0.5
A20MXDUP9U2UPE,F,35,4,30,10,whale,3,horse,0.975,0.975,0.775,0.75,0.125,0.15,0.175,0.175
A20MXDUP9U2UPE,F,35,4,4,11,bee,1,beaver,0.95,0.65,0.5,0.35,0.6,0.375,0.225,0.25
A20MXDUP9U2UPE,F,35,4,29,12,tiger,3,snake,0.95,0.65,0.5,0.4,0.3,0.325,0.35,0.275
A20MXDUP9U2UPE,F,35,4,15,13,frog,2,dog,1,0.35,0.725,0.5,0.225,0.3,0.25,0.275
A20MXDUP9U2UPE,F,35,4,14,14,fox,3,cat,0.975,0.725,0.5,0.5,0.35,0.275,0.25,0.325
A20MXDUP9U2UPE,F,35,4,29,15,tiger,3,bear,0.975,0.7,0.475,0.475,0.375,0.225,0.25,0.275
A20MXDUP9U2UPE,F,35,4,20,16,lion,2,bear,0.975,0.9,0.8,0.65,0.325,0.25,0.275,0.25
A20MXDUP9U2UPE,F,35,4,25,17,pig,3,skunk,0.975,0.5,0.275,0.25,0.5,0.375,0.4,0.225
A20MXDUP9U2UPE,F,35,4,8,18,cow,1,hippo,1,0.5,0.675,0.45,0.25,0.275,0.275,0.175
A20MXDUP9U2UPE,F,35,4,26,19,rabbit,2,bear,0.975,0.925,0.5,0.425,0.95,0.825,0.375,0.3
A20MXDUP9U2UPE,F,35,4,7,20,cat,2,sloth,0.85,0.375,0.55,0.4,0.425,0.275,0.75,0.325
A2R794P3E8X0MK,F,45,4,20,1,lion,2,snake,0.975,0.275,0.825,0.2,0.325,0.2,0.55,0.6
A2R794P3E8X0MK,F,45,4,21,2,monkey,3,kitten,0.625,0.6,0.75,0.575,0.425,0.325,0.375,0.4
A2R794P3E8X0MK,F,45,4,32,3,zebra,1,tiger,0.725,0.375,0.575,0.425,0.4,0.3,0.425,0.325
A2R794P3E8X0MK,F,45,4,32,4,zebra,2,peacock,0.725,0.625,0.75,0.525,0.6,0.525,0.425,0.35
A2R794P3E8X0MK,F,45,4,9,5,dog,2,dolphin,0.9,0.65,0.75,0.55,0.475,0.35,0.2,0.1
A2R794P3E8X0MK,F,45,4,24,6,penguin,3,hyena,0.95,0.775,0.325,0.275,0.375,0.375,0.525,0.35
A2R794P3E8X0MK,F,45,4,25,7,pig,1,rat,0.825,0.7,0.375,0.425,0.25,0.325,0.3,0.4
A2R794P3E8X0MK,F,45,4,26,8,rabbit,3,puppy,0.825,0.625,0.375,0.275,0.375,0.35,0.375,0.275
A2R794P3E8X0MK,F,45,4,21,9,monkey,1,hyena,0.725,0.65,0.675,0.625,0.425,0.3,0.375,0.35
A2R794P3E8X0MK,F,45,4,4,10,bee,2,mouse,0.7,0.625,0.725,0.575,0.275,0.3,0.625,0.55
A2R794P3E8X0MK,F,45,4,29,11,tiger,2,lion,0.825,0.75,0.5,0.625,0.625,0.575,0.325,0.325
A2R794P3E8X0MK,F,45,4,17,12,goose,3,dog,0.7,0.4,0.325,0.3,0.75,0.45,0.375,0.325
A2R794P3E8X0MK,F,45,4,12,13,elephant,1,giraffe,0.975,0.2,0.675,0.275,0.325,0.3,0.675,0.55
A2R794P3E8X0MK,F,45,4,30,14,whale,3,lion,0.725,0.625,0.775,0.575,0.35,0.425,0.35,0.275
A2R794P3E8X0MK,F,45,4,3,15,bear,1,snake,0.8,0.45,0.325,0.275,0.375,0.4,0.3,0.4
A2R794P3E8X0MK,F,45,4,18,16,horse,2,ox,0.775,0.675,0.375,0.3,0.575,0.55,0.375,0.325
