workerid,gender,language,income,age,order,categoryID,origAnimal,feature,featureNum,altAnimal
A1GOJEDZM2CQTN,M,English,4,35,9,21,monkey,smart,2,dolphin
A2F1JTU06CO6VD,F,English,4,35,1,1,ant,busy,3,bee
A2F1JTU06CO6VD,F,English,4,35,2,29,whale,majestic,3,reindeer
A2F1JTU06CO6VD,F,English,4,35,3,1,ant,strong,2,buffalo
A2F1JTU06CO6VD,F,English,4,35,4,21,monkey,playful,3,kitten
A2F1JTU06CO6VD,F,English,4,35,5,29,whale,large,1,mountain lion
A2F1JTU06CO6VD,F,English,4,35,6,29,whale,graceful,2,cheetah
A2F1JTU06CO6VD,F,English,4,35,7,1,ant,small,1,fieldmouse
A2F1JTU06CO6VD,F,English,4,35,8,21,monkey,smart,2,dolphin
A2F1JTU06CO6VD,F,English,4,35,9,21,monkey,funny,1,hyena
A2E3TO92MCQ9XU,M,English,6,35,1,29,whale,majestic,3,brontosaurus
A2E3TO92MCQ9XU,M,English,6,35,2,1,ant,busy,3,zebra
A2E3TO92MCQ9XU,M,English,6,35,3,21,monkey,smart,2,cat
A2E3TO92MCQ9XU,M,English,6,35,4,1,ant,small,1,mouse
A2E3TO92MCQ9XU,M,English,6,35,5,21,monkey,funny,1,platypus
A2E3TO92MCQ9XU,M,English,6,35,6,29,whale,graceful,2,cat
A2E3TO92MCQ9XU,M,English,6,35,7,21,monkey,playful,3,velociraptor
A2E3TO92MCQ9XU,M,English,6,35,8,1,ant,strong,2,elephant
A2E3TO92MCQ9XU,M,English,6,35,9,29,whale,large,1,blue whale
A1IW4F5LP5152V,M,english,4,25,1,1,ant,strong,2,bear
A1IW4F5LP5152V,M,english,4,25,2,21,monkey,funny,1,puppy
A1IW4F5LP5152V,M,english,4,25,3,21,monkey,smart,2,coyote
A1IW4F5LP5152V,M,english,4,25,4,29,whale,large,1,elephant
A1IW4F5LP5152V,M,english,4,25,5,29,whale,majestic,3,lion
A1IW4F5LP5152V,M,english,4,25,6,1,ant,busy,3,bee
A1IW4F5LP5152V,M,english,4,25,7,29,whale,graceful,2,lion
A1IW4F5LP5152V,M,english,4,25,8,21,monkey,playful,3,dog
A1IW4F5LP5152V,M,english,4,25,9,1,ant,small,1,rabbit
A3GQZQ1GYUG3PC,M,English,4,25,1,1,ant,busy,3,bear
A3GQZQ1GYUG3PC,M,English,4,25,2,29,whale,graceful,2,eagle
A3GQZQ1GYUG3PC,M,English,4,25,3,21,monkey,smart,2,dog
A3GQZQ1GYUG3PC,M,English,4,25,4,29,whale,majestic,3,horse
A3GQZQ1GYUG3PC,M,English,4,25,5,21,monkey,playful,3,cat
A3GQZQ1GYUG3PC,M,English,4,25,6,1,ant,strong,2,lion
A3GQZQ1GYUG3PC,M,English,4,25,7,1,ant,small,1,mouse
A3GQZQ1GYUG3PC,M,English,4,25,8,21,monkey,funny,1,monkey
A3GQZQ1GYUG3PC,M,English,4,25,9,29,whale,large,1,elephant
A9HFZID537EXA,M,English,4,25,1,21,monkey,playful,3,dog
A9HFZID537EXA,M,English,4,25,2,29,whale,large,1,elephant
A9HFZID537EXA,M,English,4,25,3,29,whale,majestic,3,lion
A9HFZID537EXA,M,English,4,25,4,1,ant,busy,3,bee
A9HFZID537EXA,M,English,4,25,5,1,ant,small,1,ant
A9HFZID537EXA,M,English,4,25,6,1,ant,strong,2,bear
A9HFZID537EXA,M,English,4,25,7,29,whale,graceful,2,eagle
A9HFZID537EXA,M,English,4,25,8,21,monkey,funny,1,cat
A9HFZID537EXA,M,English,4,25,9,21,monkey,smart,2,dolphin
A6WIMDZ0F4NF5,F,English,4,25,1,21,monkey,smart,2,cat
A6WIMDZ0F4NF5,F,English,4,25,2,29,whale,majestic,3,horse
A6WIMDZ0F4NF5,F,English,4,25,3,21,monkey,funny,1,dog
A6WIMDZ0F4NF5,F,English,4,25,4,1,ant,strong,2,bear
A6WIMDZ0F4NF5,F,English,4,25,5,1,ant,busy,3,beaver
A6WIMDZ0F4NF5,F,English,4,25,6,29,whale,large,1,ox
A6WIMDZ0F4NF5,F,English,4,25,7,1,ant,small,1,mouse
A6WIMDZ0F4NF5,F,English,4,25,8,21,monkey,playful,3,panda
A6WIMDZ0F4NF5,F,English,4,25,9,29,whale,graceful,2,swan
A16TESTJICU76L,M,English,4,25,1,29,whale,graceful,2,swan
A16TESTJICU76L,M,English,4,25,2,21,monkey,playful,3,dog
A16TESTJICU76L,M,English,4,25,3,21,monkey,smart,2,dolphin
A16TESTJICU76L,M,English,4,25,4,1,ant,strong,2,lion
A16TESTJICU76L,M,English,4,25,5,29,whale,large,1,elephant
A16TESTJICU76L,M,English,4,25,6,29,whale,majestic,3,tiger
A16TESTJICU76L,M,English,4,25,7,21,monkey,funny,1,chimpanzee
A16TESTJICU76L,M,English,4,25,8,1,ant,busy,3,bee
A16TESTJICU76L,M,English,4,25,9,1,ant,small,1,ant
A2ASJ41RBJA0E5,M,English,6,35,1,29,whale,majestic,3,eagle
A2ASJ41RBJA0E5,M,English,6,35,2,21,monkey,playful,3,cat
A2ASJ41RBJA0E5,M,English,6,35,3,21,monkey,smart,2,dolphin
A2ASJ41RBJA0E5,M,English,6,35,4,29,whale,graceful,2,lion
A2ASJ41RBJA0E5,M,English,6,35,5,29,whale,large,1,elephant
A2ASJ41RBJA0E5,M,English,6,35,6,1,ant,small,1,mouse
A2ASJ41RBJA0E5,M,English,6,35,7,21,monkey,funny,1,walrus
A2ASJ41RBJA0E5,M,English,6,35,8,1,ant,strong,2,ox
A2ASJ41RBJA0E5,M,English,6,35,9,1,ant,busy,3,ant
A22XK2FSFIAAFG,M,English,4,25,1,21,monkey,playful,3,cat
A22XK2FSFIAAFG,M,English,4,25,2,29,whale,graceful,2,deer
A22XK2FSFIAAFG,M,English,4,25,3,29,whale,large,1,elephant
A22XK2FSFIAAFG,M,English,4,25,4,1,ant,small,1,mouse
A22XK2FSFIAAFG,M,English,4,25,5,1,ant,busy,3,bird
A22XK2FSFIAAFG,M,English,4,25,6,1,ant,strong,2,lion
A22XK2FSFIAAFG,M,English,4,25,7,21,monkey,funny,1,monkey
A22XK2FSFIAAFG,M,English,4,25,8,29,whale,majestic,3,rabbit
A22XK2FSFIAAFG,M,English,4,25,9,21,monkey,smart,2,dog
A3NSX46VYD9J49,F,english,8,45,1,21,monkey,smart,2,cat
A3NSX46VYD9J49,F,english,8,45,2,29,whale,large,1,eleqhant
A3NSX46VYD9J49,F,english,8,45,3,1,ant,small,1,hamster
A3NSX46VYD9J49,F,english,8,45,4,1,ant,busy,3,monkey
A3NSX46VYD9J49,F,english,8,45,5,29,whale,graceful,2,gazelle
A3NSX46VYD9J49,F,english,8,45,6,29,whale,majestic,3,lion
A3NSX46VYD9J49,F,english,8,45,7,21,monkey,funny,1,chimpanzee
A3NSX46VYD9J49,F,english,8,45,8,21,monkey,playful,3,dog
A3NSX46VYD9J49,F,english,8,45,9,1,ant,strong,2,tiger
A36NTNEXBNBIOD,M,Vietnamese,0,25,1,1,ant,busy,3,dog
A36NTNEXBNBIOD,M,Vietnamese,0,25,2,21,monkey,funny,1,cat
A36NTNEXBNBIOD,M,Vietnamese,0,25,3,21,monkey,playful,3,dog
A36NTNEXBNBIOD,M,Vietnamese,0,25,4,29,whale,graceful,2,swan
A36NTNEXBNBIOD,M,Vietnamese,0,25,5,29,whale,majestic,3,peacock
A36NTNEXBNBIOD,M,Vietnamese,0,25,6,21,monkey,smart,2,dolphin
A36NTNEXBNBIOD,M,Vietnamese,0,25,7,1,ant,strong,2,polar bear
A36NTNEXBNBIOD,M,Vietnamese,0,25,8,1,ant,small,1,mouse
A36NTNEXBNBIOD,M,Vietnamese,0,25,9,29,whale,large,1,elephant
A3G3LOU9P9P60N,M,English,4,25,1,1,ant,busy,3,bee
A3G3LOU9P9P60N,M,English,4,25,2,29,whale,majestic,3,lion
A3G3LOU9P9P60N,M,English,4,25,3,21,monkey,funny,1,hyena
A3G3LOU9P9P60N,M,English,4,25,4,29,whale,large,1,elephant
A3G3LOU9P9P60N,M,English,4,25,5,29,whale,graceful,2,cheetah
A3G3LOU9P9P60N,M,English,4,25,6,1,ant,small,1,ant
A3G3LOU9P9P60N,M,English,4,25,7,21,monkey,smart,2,elephant
A3G3LOU9P9P60N,M,English,4,25,8,1,ant,strong,2,ox
A3G3LOU9P9P60N,M,English,4,25,9,21,monkey,playful,3,dog
A3BX7MIZ81VOD0,M,English,4,25,1,1,ant,strong,2,lion
A3BX7MIZ81VOD0,M,English,4,25,2,29,whale,graceful,2,gazelle
A3BX7MIZ81VOD0,M,English,4,25,3,1,ant,small,1,snail
A3BX7MIZ81VOD0,M,English,4,25,4,29,whale,majestic,3,monkey
A3BX7MIZ81VOD0,M,English,4,25,5,21,monkey,playful,3,panda
A3BX7MIZ81VOD0,M,English,4,25,6,29,whale,large,1,giraffe
A3BX7MIZ81VOD0,M,English,4,25,7,21,monkey,funny,1,orangutang
A3BX7MIZ81VOD0,M,English,4,25,8,21,monkey,smart,2,owl
A3BX7MIZ81VOD0,M,English,4,25,9,1,ant,busy,3,bee
A2GNS8YQ7S233F,M,English,0,25,1,1,ant,busy,3,bee
A2GNS8YQ7S233F,M,English,0,25,2,1,ant,small,1,snail
A2GNS8YQ7S233F,M,English,0,25,3,21,monkey,playful,3,dolphin
A2GNS8YQ7S233F,M,English,0,25,4,29,whale,graceful,2,butterfly
A2GNS8YQ7S233F,M,English,0,25,5,1,ant,strong,2,ox
A2GNS8YQ7S233F,M,English,0,25,6,21,monkey,funny,1,beaver
A2GNS8YQ7S233F,M,English,0,25,7,29,whale,majestic,3,whale
A2GNS8YQ7S233F,M,English,0,25,8,29,whale,large,1,whale
A2GNS8YQ7S233F,M,English,0,25,9,21,monkey,smart,2,dog
A27LGC4MU1R7PQ,M,English,0,25,1,29,whale,large,1,elephant
A27LGC4MU1R7PQ,M,English,0,25,2,21,monkey,funny,1,giraffe
A27LGC4MU1R7PQ,M,English,0,25,3,21,monkey,smart,2,owl
A27LGC4MU1R7PQ,M,English,0,25,4,29,whale,majestic,3,eagle
A27LGC4MU1R7PQ,M,English,0,25,5,21,monkey,playful,3,kitten
A27LGC4MU1R7PQ,M,English,0,25,6,1,ant,strong,2,bear
A27LGC4MU1R7PQ,M,English,0,25,7,1,ant,busy,3,bee
A27LGC4MU1R7PQ,M,English,0,25,8,1,ant,small,1,mouse
A27LGC4MU1R7PQ,M,English,0,25,9,29,whale,graceful,2,gazelle
A27HVVLSZZ13XK,M,English,4,45,1,1,ant,busy,3,beaver
A27HVVLSZZ13XK,M,English,4,45,2,21,monkey,playful,3,otter
A27HVVLSZZ13XK,M,English,4,45,3,29,whale,graceful,2,cat
A27HVVLSZZ13XK,M,English,4,45,4,29,whale,majestic,3,lion
A27HVVLSZZ13XK,M,English,4,45,5,29,whale,large,1,elephant
A27HVVLSZZ13XK,M,English,4,45,6,21,monkey,funny,1,dog
A27HVVLSZZ13XK,M,English,4,45,7,1,ant,strong,2,ox
A27HVVLSZZ13XK,M,English,4,45,8,21,monkey,smart,2,owl
A27HVVLSZZ13XK,M,English,4,45,9,1,ant,small,1,mouse
A1DH9XSPAHZHVB,F,English,4,45,1,21,monkey,playful,3,dog
A1DH9XSPAHZHVB,F,English,4,45,2,21,monkey,funny,1,squirrel
A1DH9XSPAHZHVB,F,English,4,45,3,21,monkey,smart,2,cat
A1DH9XSPAHZHVB,F,English,4,45,4,29,whale,large,1,elephant
A1DH9XSPAHZHVB,F,English,4,45,5,1,ant,strong,2,lion
A1DH9XSPAHZHVB,F,English,4,45,6,29,whale,majestic,3,eagle
A1DH9XSPAHZHVB,F,English,4,45,7,29,whale,graceful,2,swan
A1DH9XSPAHZHVB,F,English,4,45,8,1,ant,small,1,mouse
A1DH9XSPAHZHVB,F,English,4,45,9,1,ant,busy,3,ant
A2QH6KC3S3KCMX,M,English,4,25,1,1,ant,strong,2,elephant
A2QH6KC3S3KCMX,M,English,4,25,2,21,monkey,playful,3,cat
A2QH6KC3S3KCMX,M,English,4,25,3,21,monkey,smart,2,horse
A2QH6KC3S3KCMX,M,English,4,25,4,29,whale,large,1,rhino
A2QH6KC3S3KCMX,M,English,4,25,5,1,ant,small,1,hamster
A2QH6KC3S3KCMX,M,English,4,25,6,29,whale,graceful,2,giraffe
A2QH6KC3S3KCMX,M,English,4,25,7,1,ant,busy,3,dog
A2QH6KC3S3KCMX,M,English,4,25,8,29,whale,majestic,3,lion
A2QH6KC3S3KCMX,M,English,4,25,9,21,monkey,funny,1,sloth
A1DX8T0U3UTD0R,M,English,6,45,1,29,whale,graceful,2,cat
A1DX8T0U3UTD0R,M,English,6,45,2,1,ant,busy,3,hamster
A1DX8T0U3UTD0R,M,English,6,45,3,21,monkey,smart,2,monkey
A1DX8T0U3UTD0R,M,English,6,45,4,29,whale,large,1,whale
A1DX8T0U3UTD0R,M,English,6,45,5,1,ant,small,1,mouse
A1DX8T0U3UTD0R,M,English,6,45,6,21,monkey,funny,1,cat
A1DX8T0U3UTD0R,M,English,6,45,7,29,whale,majestic,3,dog
A1DX8T0U3UTD0R,M,English,6,45,8,21,monkey,playful,3,squirrel
A1DX8T0U3UTD0R,M,English,6,45,9,1,ant,strong,2,bull
A1FDAQBV8RBA5K,M,English,0,25,1,1,ant,busy,3,bee
A1FDAQBV8RBA5K,M,English,0,25,2,1,ant,small,1,snail
A1FDAQBV8RBA5K,M,English,0,25,3,21,monkey,playful,3,bird
A1FDAQBV8RBA5K,M,English,0,25,4,1,ant,strong,2,ape
A1FDAQBV8RBA5K,M,English,0,25,5,29,whale,majestic,3,peacock
A1FDAQBV8RBA5K,M,English,0,25,6,29,whale,graceful,2,swan
A1FDAQBV8RBA5K,M,English,0,25,7,21,monkey,smart,2,otter
A1FDAQBV8RBA5K,M,English,0,25,8,29,whale,large,1,whale
A1FDAQBV8RBA5K,M,English,0,25,9,21,monkey,funny,1,monkey
A61GHYNS1DFT7,M,English,4,25,1,29,whale,large,1,elephant
A61GHYNS1DFT7,M,English,4,25,2,29,whale,majestic,3,lion
A61GHYNS1DFT7,M,English,4,25,3,1,ant,strong,2,bear
A61GHYNS1DFT7,M,English,4,25,4,1,ant,busy,3,bee
A61GHYNS1DFT7,M,English,4,25,5,21,monkey,funny,1,baboon
A61GHYNS1DFT7,M,English,4,25,6,21,monkey,smart,2,dolphin
A61GHYNS1DFT7,M,English,4,25,7,29,whale,graceful,2,giraffe
A61GHYNS1DFT7,M,English,4,25,8,21,monkey,playful,3,monkey
A61GHYNS1DFT7,M,English,4,25,9,1,ant,small,1,sugarglider
AMMWXVR95HRTK,F,English,6,45,1,21,monkey,playful,3,seal
AMMWXVR95HRTK,F,English,6,45,2,29,whale,majestic,3,lion
AMMWXVR95HRTK,F,English,6,45,3,21,monkey,smart,2,dolphin
AMMWXVR95HRTK,F,English,6,45,4,1,ant,strong,2,bear
AMMWXVR95HRTK,F,English,6,45,5,29,whale,graceful,2,swan
AMMWXVR95HRTK,F,English,6,45,6,29,whale,large,1,elephant
AMMWXVR95HRTK,F,English,6,45,7,21,monkey,funny,1,monkey
AMMWXVR95HRTK,F,English,6,45,8,1,ant,small,1,mouse
AMMWXVR95HRTK,F,English,6,45,9,1,ant,busy,3,beaver
A2B3EQ7U5OBODP,F,English,8,45,1,21,monkey,funny,1,cat
A2B3EQ7U5OBODP,F,English,8,45,2,29,whale,large,1,elephant
A2B3EQ7U5OBODP,F,English,8,45,3,29,whale,majestic,3,lion
A2B3EQ7U5OBODP,F,English,8,45,4,1,ant,busy,3,bee
A2B3EQ7U5OBODP,F,English,8,45,5,29,whale,graceful,2,gazelle
A2B3EQ7U5OBODP,F,English,8,45,6,21,monkey,smart,2,chimpanzee
A2B3EQ7U5OBODP,F,English,8,45,7,1,ant,small,1,mouse
A2B3EQ7U5OBODP,F,English,8,45,8,1,ant,strong,2,rhino
A2B3EQ7U5OBODP,F,English,8,45,9,21,monkey,playful,3,kitten
A3L566X0J1DLP,M,english,6,35,1,29,whale,graceful,2,eagle
A3L566X0J1DLP,M,english,6,35,2,21,monkey,funny,1,seal
A3L566X0J1DLP,M,english,6,35,3,29,whale,majestic,3,peacock
A3L566X0J1DLP,M,english,6,35,4,21,monkey,smart,2,dolphin
A3L566X0J1DLP,M,english,6,35,5,1,ant,busy,3,beaver
A3L566X0J1DLP,M,english,6,35,6,1,ant,strong,2,lion
A3L566X0J1DLP,M,english,6,35,7,1,ant,small,1,mouse
A3L566X0J1DLP,M,english,6,35,8,21,monkey,playful,3,dog
A3L566X0J1DLP,M,english,6,35,9,29,whale,large,1,gorilla
A3VNTN07XJ79H0,M,English,11,45,1,21,monkey,playful,3,kitten
A3VNTN07XJ79H0,M,English,11,45,2,29,whale,large,1,elephant
A3VNTN07XJ79H0,M,English,11,45,3,29,whale,graceful,2,swan
A3VNTN07XJ79H0,M,English,11,45,4,1,ant,strong,2,ox
A3VNTN07XJ79H0,M,English,11,45,5,21,monkey,funny,1,monkey
A3VNTN07XJ79H0,M,English,11,45,6,1,ant,busy,3,bee
A3VNTN07XJ79H0,M,English,11,45,7,1,ant,small,1,ant
A3VNTN07XJ79H0,M,English,11,45,8,29,whale,majestic,3,eagle
A3VNTN07XJ79H0,M,English,11,45,9,21,monkey,smart,2,dolphin
A1CH1PHXP9V5BL,F,English,4,45,1,1,ant,small,1,ant
A1CH1PHXP9V5BL,F,English,4,45,2,21,monkey,playful,3,dog
A1CH1PHXP9V5BL,F,English,4,45,3,1,ant,strong,2,lion
A1CH1PHXP9V5BL,F,English,4,45,4,29,whale,large,1,whale
A1CH1PHXP9V5BL,F,English,4,45,5,1,ant,busy,3,bee
A1CH1PHXP9V5BL,F,English,4,45,6,29,whale,graceful,2,swan
A1CH1PHXP9V5BL,F,English,4,45,7,21,monkey,smart,2,dolphin
A1CH1PHXP9V5BL,F,English,4,45,8,29,whale,majestic,3,horse
A1CH1PHXP9V5BL,F,English,4,45,9,21,monkey,funny,1,dog
A1ZMSISQD2JE50,F,english,11,35,1,29,whale,graceful,2,giraffe
A1ZMSISQD2JE50,F,english,11,35,2,21,monkey,playful,3,kitten
A1ZMSISQD2JE50,F,english,11,35,3,29,whale,large,1,rhinoceros
A1ZMSISQD2JE50,F,english,11,35,4,1,ant,strong,2,lion
A1ZMSISQD2JE50,F,english,11,35,5,21,monkey,funny,1,ostrich
A1ZMSISQD2JE50,F,english,11,35,6,29,whale,majestic,3,eagle
A1ZMSISQD2JE50,F,english,11,35,7,21,monkey,smart,2,cat
A1ZMSISQD2JE50,F,english,11,35,8,1,ant,busy,3,ant
A1ZMSISQD2JE50,F,english,11,35,9,1,ant,small,1,flea
A1LHQPNEW7I704,M,english,4,35,1,21,monkey,funny,1,monkey
A1LHQPNEW7I704,M,english,4,35,2,21,monkey,playful,3,squirrel
A1LHQPNEW7I704,M,english,4,35,3,21,monkey,smart,2,parrot
A1LHQPNEW7I704,M,english,4,35,4,29,whale,graceful,2,swan
A1LHQPNEW7I704,M,english,4,35,5,1,ant,small,1,mouse
A1LHQPNEW7I704,M,english,4,35,6,29,whale,large,1,elephant
A1LHQPNEW7I704,M,english,4,35,7,29,whale,majestic,3,whale
A1LHQPNEW7I704,M,english,4,35,8,1,ant,strong,2,ox
A1LHQPNEW7I704,M,english,4,35,9,1,ant,busy,3,beaver
A1TWKYR6QMINZY,M,English,4,25,1,1,ant,busy,3,monkey
A1TWKYR6QMINZY,M,English,4,25,2,21,monkey,playful,3,puppy
A1TWKYR6QMINZY,M,English,4,25,3,21,monkey,smart,2,dolphin
A1TWKYR6QMINZY,M,English,4,25,4,1,ant,small,1,mouse
A1TWKYR6QMINZY,M,English,4,25,5,29,whale,majestic,3,unicorn
A1TWKYR6QMINZY,M,English,4,25,6,29,whale,graceful,2,swan
A1TWKYR6QMINZY,M,English,4,25,7,1,ant,strong,2,gorilla
A1TWKYR6QMINZY,M,English,4,25,8,21,monkey,funny,1,monkey
A1TWKYR6QMINZY,M,English,4,25,9,29,whale,large,1,elephant
A2PAXN8UZU4W0O,F,English,4,25,1,1,ant,strong,2,lion
A2PAXN8UZU4W0O,F,English,4,25,2,21,monkey,smart,2,monkey
A2PAXN8UZU4W0O,F,English,4,25,3,29,whale,large,1,elephant
A2PAXN8UZU4W0O,F,English,4,25,4,29,whale,majestic,3,peacock
A2PAXN8UZU4W0O,F,English,4,25,5,21,monkey,funny,1,monkey
A2PAXN8UZU4W0O,F,English,4,25,6,1,ant,busy,3,ant
A2PAXN8UZU4W0O,F,English,4,25,7,1,ant,small,1,beatle
A2PAXN8UZU4W0O,F,English,4,25,8,21,monkey,playful,3,monkey
A2PAXN8UZU4W0O,F,English,4,25,9,29,whale,graceful,2,gazelle
A34YD9P7KI4RF,F,English,4,55,1,1,ant,strong,2,cougar
A34YD9P7KI4RF,F,English,4,55,2,29,whale,graceful,2,cheetah
A34YD9P7KI4RF,F,English,4,55,3,21,monkey,playful,3,kitten
A34YD9P7KI4RF,F,English,4,55,4,1,ant,small,1,puppy
A34YD9P7KI4RF,F,English,4,55,5,21,monkey,funny,1,bird
A34YD9P7KI4RF,F,English,4,55,6,29,whale,majestic,3,tiger
A34YD9P7KI4RF,F,English,4,55,7,1,ant,busy,3,monkey
A34YD9P7KI4RF,F,English,4,55,8,29,whale,large,1,elephant
A34YD9P7KI4RF,F,English,4,55,9,21,monkey,smart,2,dolphin
A3IQR2DCG24H8I,F,English,6,45,1,1,ant,busy,3,beaver
A3IQR2DCG24H8I,F,English,6,45,2,29,whale,graceful,2,swan
A3IQR2DCG24H8I,F,English,6,45,3,29,whale,majestic,3,eagle
