category,hairy,big,hard,fast,fierce,striped,strong,prob
horse,0,2,0,0,0,2,2,0.0000015660469158251773
horse,0,2,0,0,1,0,0,2.700569289452811e-7
horse,0,2,0,0,1,0,1,7.209281628457696e-7
horse,0,2,0,0,1,0,2,6.118451343450314e-7
horse,0,2,0,0,1,1,0,2.700569289452811e-7
horse,0,2,0,0,1,1,1,7.209281628457696e-7
horse,0,2,0,0,1,1,2,6.118451343450314e-7
horse,0,2,0,0,1,2,0,2.700569289452811e-7
horse,0,2,0,0,1,2,1,7.209281628457696e-7
horse,0,2,0,0,1,2,2,6.118451343450314e-7
horse,0,2,0,0,2,0,0,8.174142559491876e-8
horse,0,2,0,0,2,0,1,2.1817122300103737e-7
horse,0,2,0,0,2,0,2,1.8615806808965354e-7
horse,0,2,0,0,2,1,0,8.174142559491876e-8
horse,0,2,0,0,2,1,1,2.1817122300103737e-7
horse,0,2,0,0,2,1,2,1.8615806808965354e-7
horse,0,2,0,0,2,2,0,8.174142559491876e-8
horse,0,2,0,0,2,2,1,2.1817122300103737e-7
horse,0,2,0,0,2,2,2,1.8615806808965354e-7
horse,0,2,0,1,0,0,0,6.927163244751039e-7
horse,0,2,0,1,0,0,1,0.0000018493785008274063
horse,0,2,0,1,0,0,2,0.0000015660469158251773
horse,0,2,0,1,0,1,0,6.927163244751039e-7
horse,0,2,0,1,0,1,1,0.0000018493785008274063
horse,0,2,0,1,0,1,2,0.0000015660469158251773
horse,0,2,0,1,0,2,0,6.927163244751039e-7
horse,0,2,0,1,0,2,1,0.0000018493785008274063
horse,0,2,0,1,0,2,2,0.0000015660469158251773
horse,0,2,0,1,1,0,0,2.700569289452811e-7
horse,0,2,0,1,1,0,1,7.209281628457696e-7
horse,0,2,0,1,1,0,2,6.118451343450314e-7
horse,0,2,0,1,1,1,0,2.700569289452811e-7
horse,0,2,0,1,1,1,1,7.209281628457696e-7
horse,0,2,0,1,1,1,2,6.118451343450314e-7
horse,0,2,0,1,1,2,0,2.700569289452811e-7
horse,0,2,0,1,1,2,1,7.209281628457696e-7
horse,0,2,0,1,1,2,2,6.118451343450314e-7
horse,0,2,0,1,2,0,0,8.174142559491876e-8
horse,0,2,0,1,2,0,1,2.1817122300103737e-7
horse,0,2,0,1,2,0,2,1.8615806808965354e-7
horse,0,2,0,1,2,1,0,8.174142559491876e-8
horse,0,2,0,1,2,1,1,2.1817122300103737e-7
horse,0,2,0,1,2,1,2,1.8615806808965354e-7
horse,0,2,0,1,2,2,0,8.174142559491876e-8
horse,0,2,0,1,2,2,1,2.1817122300103737e-7
horse,0,2,0,1,2,2,2,1.8615806808965354e-7
horse,0,2,0,2,0,0,0,6.927163244751039e-7
horse,0,2,0,2,0,0,1,0.0000018493785008274063
horse,0,2,0,2,0,0,2,0.0000015660469158251773
horse,0,2,0,2,0,1,0,6.927163244751039e-7
horse,0,2,0,2,0,1,1,0.0000018493785008274063
horse,0,2,0,2,0,1,2,0.0000015660469158251773
horse,0,2,0,2,0,2,0,6.927163244751039e-7
horse,0,2,0,2,0,2,1,0.0000018493785008274063
horse,0,2,0,2,0,2,2,0.0000015660469158251773
horse,0,2,0,2,1,0,0,2.700569289452811e-7
horse,0,2,0,2,1,0,1,7.209281628457696e-7
horse,0,2,0,2,1,0,2,6.118451343450314e-7
horse,0,2,0,2,1,1,0,2.700569289452811e-7
horse,0,2,0,2,1,1,1,7.209281628457696e-7
horse,0,2,0,2,1,1,2,6.118451343450314e-7
horse,0,2,0,2,1,2,0,2.700569289452811e-7
horse,0,2,0,2,1,2,1,7.209281628457696e-7
horse,0,2,0,2,1,2,2,6.118451343450314e-7
horse,0,2,0,2,2,0,0,8.174142559491876e-8
horse,0,2,0,2,2,0,1,2.1817122300103737e-7
horse,0,2,0,2,2,0,2,1.8615806808965354e-7
horse,0,2,0,2,2,1,0,8.174142559491876e-8
horse,0,2,0,2,2,1,1,2.1817122300103737e-7
horse,0,2,0,2,2,1,2,1.8615806808965354e-7
horse,0,2,0,2,2,2,0,8.174142559491876e-8
horse,0,2,0,2,2,2,1,2.1817122300103737e-7
horse,0,2,0,2,2,2,2,1.8615806808965354e-7
horse,0,2,1,0,0,0,0,6.927163244751039e-7
horse,0,2,1,0,0,0,1,0.0000018493785008274063
horse,0,2,1,0,0,0,2,0.0000015660469158251773
horse,0,2,1,0,0,1,0,6.927163244751039e-7
horse,0,2,1,0,0,1,1,0.0000018493785008274063
horse,0,2,1,0,0,1,2,0.0000015660469158251773
horse,0,2,1,0,0,2,0,6.927163244751039e-7
horse,0,2,1,0,0,2,1,0.0000018493785008274063
horse,0,2,1,0,0,2,2,0.0000015660469158251773
horse,0,2,1,0,1,0,0,2.700569289452811e-7
horse,0,2,1,0,1,0,1,7.209281628457696e-7
horse,0,2,1,0,1,0,2,6.118451343450314e-7
horse,0,2,1,0,1,1,0,2.700569289452811e-7
horse,0,2,1,0,1,1,1,7.209281628457696e-7
horse,0,2,1,0,1,1,2,6.118451343450314e-7
horse,0,2,1,0,1,2,0,2.700569289452811e-7
horse,0,2,1,0,1,2,1,7.209281628457696e-7
horse,0,2,1,0,1,2,2,6.118451343450314e-7
horse,0,2,1,0,2,0,0,8.174142559491876e-8
horse,0,2,1,0,2,0,1,2.1817122300103737e-7
horse,0,2,1,0,2,0,2,1.8615806808965354e-7
horse,0,2,1,0,2,1,0,8.174142559491876e-8
horse,0,2,1,0,2,1,1,2.1817122300103737e-7
horse,0,2,1,0,2,1,2,1.8615806808965354e-7
horse,0,2,1,0,2,2,0,8.174142559491876e-8
horse,0,2,1,0,2,2,1,2.1817122300103737e-7
horse,0,2,1,0,2,2,2,1.8615806808965354e-7
horse,0,2,1,1,0,0,0,6.927163244751039e-7
horse,0,2,1,1,0,0,1,0.0000018493785008274063
horse,0,2,1,1,0,0,2,0.0000015660469158251773
horse,0,2,1,1,0,1,0,6.927163244751039e-7
horse,0,2,1,1,0,1,1,0.0000018493785008274063
horse,0,2,1,1,0,1,2,0.0000015660469158251773
horse,0,2,1,1,0,2,0,6.927163244751039e-7
horse,0,2,1,1,0,2,1,0.0000018493785008274063
horse,0,2,1,1,0,2,2,0.0000015660469158251773
horse,0,2,1,1,1,0,0,2.700569289452811e-7
horse,0,2,1,1,1,0,1,7.209281628457696e-7
horse,0,2,1,1,1,0,2,6.118451343450314e-7
horse,0,2,1,1,1,1,0,2.700569289452811e-7
horse,0,2,1,1,1,1,1,7.209281628457696e-7
horse,0,2,1,1,1,1,2,6.118451343450314e-7
horse,0,2,1,1,1,2,0,2.700569289452811e-7
horse,0,2,1,1,1,2,1,7.209281628457696e-7
horse,0,2,1,1,1,2,2,6.118451343450314e-7
horse,0,2,1,1,2,0,0,8.174142559491876e-8
horse,0,2,1,1,2,0,1,2.1817122300103737e-7
horse,0,2,1,1,2,0,2,1.8615806808965354e-7
horse,0,2,1,1,2,1,0,8.174142559491876e-8
horse,0,2,1,1,2,1,1,2.1817122300103737e-7
horse,0,2,1,1,2,1,2,1.8615806808965354e-7
horse,0,2,1,1,2,2,0,8.174142559491876e-8
horse,0,2,1,1,2,2,1,2.1817122300103737e-7
horse,0,2,1,1,2,2,2,1.8615806808965354e-7
horse,0,2,1,2,0,0,0,6.927163244751039e-7
horse,0,2,1,2,0,0,1,0.0000018493785008274063
horse,0,2,1,2,0,0,2,0.0000015660469158251773
horse,0,2,1,2,0,1,0,6.927163244751039e-7
horse,0,2,1,2,0,1,1,0.0000018493785008274063
horse,0,2,1,2,0,1,2,0.0000015660469158251773
horse,0,2,1,2,0,2,0,6.927163244751039e-7
horse,0,2,1,2,0,2,1,0.0000018493785008274063
horse,0,2,1,2,0,2,2,0.0000015660469158251773
horse,0,2,1,2,1,0,0,2.700569289452811e-7
horse,0,2,1,2,1,0,1,7.209281628457696e-7
horse,0,2,1,2,1,0,2,6.118451343450314e-7
horse,0,2,1,2,1,1,0,2.700569289452811e-7
horse,0,2,1,2,1,1,1,7.209281628457696e-7
horse,0,2,1,2,1,1,2,6.118451343450314e-7
horse,0,2,1,2,1,2,0,2.700569289452811e-7
horse,0,2,1,2,1,2,1,7.209281628457696e-7
horse,0,2,1,2,1,2,2,6.118451343450314e-7
horse,0,2,1,2,2,0,0,8.174142559491876e-8
horse,0,2,1,2,2,0,1,2.1817122300103737e-7
horse,0,2,1,2,2,0,2,1.8615806808965354e-7
horse,0,2,1,2,2,1,0,8.174142559491876e-8
horse,0,2,1,2,2,1,1,2.1817122300103737e-7
horse,0,2,1,2,2,1,2,1.8615806808965354e-7
horse,0,2,1,2,2,2,0,8.174142559491876e-8
horse,0,2,1,2,2,2,1,2.1817122300103737e-7
horse,0,2,1,2,2,2,2,1.8615806808965354e-7
horse,0,2,2,0,0,0,0,6.927163244751039e-7
horse,0,2,2,0,0,0,1,0.0000018493785008274063
horse,0,2,2,0,0,0,2,0.0000015660469158251773
horse,0,2,2,0,0,1,0,6.927163244751039e-7
horse,0,2,2,0,0,1,1,0.0000018493785008274063
horse,0,2,2,0,0,1,2,0.0000015660469158251773
horse,0,2,2,0,0,2,0,6.927163244751039e-7
horse,0,2,2,0,0,2,1,0.0000018493785008274063
horse,0,2,2,0,0,2,2,0.0000015660469158251773
horse,0,2,2,0,1,0,0,2.700569289452811e-7
horse,0,2,2,0,1,0,1,7.209281628457696e-7
horse,0,2,2,0,1,0,2,6.118451343450314e-7
horse,0,2,2,0,1,1,0,2.700569289452811e-7
horse,0,2,2,0,1,1,1,7.209281628457696e-7
horse,0,2,2,0,1,1,2,6.118451343450314e-7
horse,0,2,2,0,1,2,0,2.700569289452811e-7
horse,0,2,2,0,1,2,1,7.209281628457696e-7
horse,0,2,2,0,1,2,2,6.118451343450314e-7
horse,0,2,2,0,2,0,0,8.174142559491876e-8
horse,0,2,2,0,2,0,1,2.1817122300103737e-7
horse,0,2,2,0,2,0,2,1.8615806808965354e-7
horse,0,2,2,0,2,1,0,8.174142559491876e-8
horse,0,2,2,0,2,1,1,2.1817122300103737e-7
horse,0,2,2,0,2,1,2,1.8615806808965354e-7
horse,0,2,2,0,2,2,0,8.174142559491876e-8
horse,0,2,2,0,2,2,1,2.1817122300103737e-7
horse,0,2,2,0,2,2,2,1.8615806808965354e-7
horse,0,2,2,1,0,0,0,6.927163244751039e-7
horse,0,2,2,1,0,0,1,0.0000018493785008274063
horse,0,2,2,1,0,0,2,0.0000015660469158251773
horse,0,2,2,1,0,1,0,6.927163244751039e-7
horse,0,2,2,1,0,1,1,0.0000018493785008274063
horse,0,2,2,1,0,1,2,0.0000015660469158251773
horse,0,2,2,1,0,2,0,6.927163244751039e-7
horse,0,2,2,1,0,2,1,0.0000018493785008274063
horse,0,2,2,1,0,2,2,0.0000015660469158251773
horse,0,2,2,1,1,0,0,2.700569289452811e-7
horse,0,2,2,1,1,0,1,7.209281628457696e-7
horse,0,2,2,1,1,0,2,6.118451343450314e-7
horse,0,2,2,1,1,1,0,2.700569289452811e-7
horse,0,2,2,1,1,1,1,7.209281628457696e-7
horse,0,2,2,1,1,1,2,6.118451343450314e-7
horse,0,2,2,1,1,2,0,2.700569289452811e-7
horse,0,2,2,1,1,2,1,7.209281628457696e-7
horse,0,2,2,1,1,2,2,6.118451343450314e-7
horse,0,2,2,1,2,0,0,8.174142559491876e-8
horse,0,2,2,1,2,0,1,2.1817122300103737e-7
horse,0,2,2,1,2,0,2,1.8615806808965354e-7
horse,0,2,2,1,2,1,0,8.174142559491876e-8
horse,0,2,2,1,2,1,1,2.1817122300103737e-7
horse,0,2,2,1,2,1,2,1.8615806808965354e-7
horse,0,2,2,1,2,2,0,8.174142559491876e-8
horse,0,2,2,1,2,2,1,2.1817122300103737e-7
horse,0,2,2,1,2,2,2,1.8615806808965354e-7
horse,0,2,2,2,0,0,0,6.927163244751039e-7
horse,0,2,2,2,0,0,1,0.0000018493785008274063
horse,0,2,2,2,0,0,2,0.0000015660469158251773
horse,0,2,2,2,0,1,0,6.927163244751039e-7
horse,0,2,2,2,0,1,1,0.0000018493785008274063
horse,0,2,2,2,0,1,2,0.0000015660469158251773
horse,0,2,2,2,0,2,0,6.927163244751039e-7
horse,0,2,2,2,0,2,1,0.0000018493785008274063
horse,0,2,2,2,0,2,2,0.0000015660469158251773
horse,0,2,2,2,1,0,0,2.700569289452811e-7
horse,0,2,2,2,1,0,1,7.209281628457696e-7
horse,0,2,2,2,1,0,2,6.118451343450314e-7
horse,0,2,2,2,1,1,0,2.700569289452811e-7
horse,0,2,2,2,1,1,1,7.209281628457696e-7
horse,0,2,2,2,1,1,2,6.118451343450314e-7
horse,0,2,2,2,1,2,0,2.700569289452811e-7
horse,0,2,2,2,1,2,1,7.209281628457696e-7
horse,0,2,2,2,1,2,2,6.118451343450314e-7
horse,0,2,2,2,2,0,0,8.174142559491876e-8
horse,0,2,2,2,2,0,1,2.1817122300103737e-7
horse,0,2,2,2,2,0,2,1.8615806808965354e-7
horse,0,2,2,2,2,1,0,8.174142559491876e-8
horse,0,2,2,2,2,1,1,2.1817122300103737e-7
horse,0,2,2,2,2,1,2,1.8615806808965354e-7
horse,0,2,2,2,2,2,0,8.174142559491876e-8
horse,0,2,2,2,2,2,1,2.1817122300103737e-7
horse,0,2,2,2,2,2,2,1.8615806808965354e-7
horse,1,0,0,0,0,0,0,6.927163244751039e-7
horse,1,0,0,0,0,0,1,0.0000018493785008274063
horse,1,0,0,0,0,0,2,0.0000015660469158251773
horse,1,0,0,0,0,1,0,6.927163244751039e-7
horse,1,0,0,0,0,1,1,0.0000018493785008274063
horse,1,0,0,0,0,1,2,0.0000015660469158251773
horse,1,0,0,0,0,2,0,6.927163244751039e-7
horse,1,0,0,0,0,2,1,0.0000018493785008274063
horse,1,0,0,0,0,2,2,0.0000015660469158251773
horse,1,0,0,0,1,0,0,2.700569289452811e-7
horse,1,0,0,0,1,0,1,7.209281628457696e-7
horse,1,0,0,0,1,0,2,6.118451343450314e-7
horse,1,0,0,0,1,1,0,2.700569289452811e-7
horse,1,0,0,0,1,1,1,7.209281628457696e-7
horse,1,0,0,0,1,1,2,6.118451343450314e-7
horse,1,0,0,0,1,2,0,2.700569289452811e-7
horse,1,0,0,0,1,2,1,7.209281628457696e-7
horse,1,0,0,0,1,2,2,6.118451343450314e-7
horse,1,0,0,0,2,0,0,8.174142559491876e-8
horse,1,0,0,0,2,0,1,2.1817122300103737e-7
horse,1,0,0,0,2,0,2,1.8615806808965354e-7
horse,1,0,0,0,2,1,0,8.174142559491876e-8
horse,1,0,0,0,2,1,1,2.1817122300103737e-7
horse,1,0,0,0,2,1,2,1.8615806808965354e-7
horse,1,0,0,0,2,2,0,8.174142559491876e-8
horse,1,0,0,0,2,2,1,2.1817122300103737e-7
horse,1,0,0,0,2,2,2,1.8615806808965354e-7
horse,1,0,0,1,0,0,0,6.927163244751039e-7
horse,1,0,0,1,0,0,1,0.0000018493785008274063
horse,1,0,0,1,0,0,2,0.0000015660469158251773
horse,1,0,0,1,0,1,0,6.927163244751039e-7
horse,1,0,0,1,0,1,1,0.0000018493785008274063
horse,1,0,0,1,0,1,2,0.0000015660469158251773
horse,1,0,0,1,0,2,0,6.927163244751039e-7
horse,1,0,0,1,0,2,1,0.0000018493785008274063
horse,1,0,0,1,0,2,2,0.0000015660469158251773
horse,1,0,0,1,1,0,0,2.700569289452811e-7
horse,1,0,0,1,1,0,1,7.209281628457696e-7
horse,1,0,0,1,1,0,2,6.118451343450314e-7
horse,1,0,0,1,1,1,0,2.700569289452811e-7
horse,1,0,0,1,1,1,1,7.209281628457696e-7
horse,1,0,0,1,1,1,2,6.118451343450314e-7
horse,1,0,0,1,1,2,0,2.700569289452811e-7
horse,1,0,0,1,1,2,1,7.209281628457696e-7
horse,1,0,0,1,1,2,2,6.118451343450314e-7
horse,1,0,0,1,2,0,0,8.174142559491876e-8
horse,1,0,0,1,2,0,1,2.1817122300103737e-7
horse,1,0,0,1,2,0,2,1.8615806808965354e-7
horse,1,0,0,1,2,1,0,8.174142559491876e-8
horse,1,0,0,1,2,1,1,2.1817122300103737e-7
horse,1,0,0,1,2,1,2,1.8615806808965354e-7
horse,1,0,0,1,2,2,0,8.174142559491876e-8
horse,1,0,0,1,2,2,1,2.1817122300103737e-7
horse,1,0,0,1,2,2,2,1.8615806808965354e-7
horse,1,0,0,2,0,0,0,6.927163244751039e-7
horse,1,0,0,2,0,0,1,0.0000018493785008274063
horse,1,0,0,2,0,0,2,0.0000015660469158251773
horse,1,0,0,2,0,1,0,6.927163244751039e-7
horse,1,0,0,2,0,1,1,0.0000018493785008274063
horse,1,0,0,2,0,1,2,0.0000015660469158251773
horse,1,0,0,2,0,2,0,6.927163244751039e-7
horse,1,0,0,2,0,2,1,0.0000018493785008274063
horse,1,0,0,2,0,2,2,0.0000015660469158251773
horse,1,0,0,2,1,0,0,2.700569289452811e-7
horse,1,0,0,2,1,0,1,7.209281628457696e-7
horse,1,0,0,2,1,0,2,6.118451343450314e-7
horse,1,0,0,2,1,1,0,2.700569289452811e-7
horse,1,0,0,2,1,1,1,7.209281628457696e-7
horse,1,0,0,2,1,1,2,6.118451343450314e-7
horse,1,0,0,2,1,2,0,2.700569289452811e-7
horse,1,0,0,2,1,2,1,7.209281628457696e-7
horse,1,0,0,2,1,2,2,6.118451343450314e-7
horse,1,0,0,2,2,0,0,8.174142559491876e-8
horse,1,0,0,2,2,0,1,2.1817122300103737e-7
horse,1,0,0,2,2,0,2,1.8615806808965354e-7
horse,1,0,0,2,2,1,0,8.174142559491876e-8
horse,1,0,0,2,2,1,1,2.1817122300103737e-7
horse,1,0,0,2,2,1,2,1.8615806808965354e-7
horse,1,0,0,2,2,2,0,8.174142559491876e-8
horse,1,0,0,2,2,2,1,2.1817122300103737e-7
horse,1,0,0,2,2,2,2,1.8615806808965354e-7
horse,1,0,1,0,0,0,0,6.927163244751039e-7
horse,1,0,1,0,0,0,1,0.0000018493785008274063
horse,1,0,1,0,0,0,2,0.0000015660469158251773
horse,1,0,1,0,0,1,0,6.927163244751039e-7
horse,1,0,1,0,0,1,1,0.0000018493785008274063
horse,1,0,1,0,0,1,2,0.0000015660469158251773
horse,1,0,1,0,0,2,0,6.927163244751039e-7
horse,1,0,1,0,0,2,1,0.0000018493785008274063
horse,1,0,1,0,0,2,2,0.0000015660469158251773
horse,1,0,1,0,1,0,0,2.700569289452811e-7
horse,1,0,1,0,1,0,1,7.209281628457696e-7
horse,1,0,1,0,1,0,2,6.118451343450314e-7
horse,1,0,1,0,1,1,0,2.700569289452811e-7
horse,1,0,1,0,1,1,1,7.209281628457696e-7
horse,1,0,1,0,1,1,2,6.118451343450314e-7
horse,1,0,1,0,1,2,0,2.700569289452811e-7
horse,1,0,1,0,1,2,1,7.209281628457696e-7
horse,1,0,1,0,1,2,2,6.118451343450314e-7
horse,1,0,1,0,2,0,0,8.174142559491876e-8
horse,1,0,1,0,2,0,1,2.1817122300103737e-7
horse,1,0,1,0,2,0,2,1.8615806808965354e-7
horse,1,0,1,0,2,1,0,8.174142559491876e-8
horse,1,0,1,0,2,1,1,2.1817122300103737e-7
horse,1,0,1,0,2,1,2,1.8615806808965354e-7
horse,1,0,1,0,2,2,0,8.174142559491876e-8
horse,1,0,1,0,2,2,1,2.1817122300103737e-7
horse,1,0,1,0,2,2,2,1.8615806808965354e-7
horse,1,0,1,1,0,0,0,6.927163244751039e-7
horse,1,0,1,1,0,0,1,0.0000018493785008274063
horse,1,0,1,1,0,0,2,0.0000015660469158251773
horse,1,0,1,1,0,1,0,6.927163244751039e-7
horse,1,0,1,1,0,1,1,0.0000018493785008274063
horse,1,0,1,1,0,1,2,0.0000015660469158251773
horse,1,0,1,1,0,2,0,6.927163244751039e-7
horse,1,0,1,1,0,2,1,0.0000018493785008274063
horse,1,0,1,1,0,2,2,0.0000015660469158251773
horse,1,0,1,1,1,0,0,2.700569289452811e-7
horse,1,0,1,1,1,0,1,7.209281628457696e-7
horse,1,0,1,1,1,0,2,6.118451343450314e-7
horse,1,0,1,1,1,1,0,2.700569289452811e-7
horse,1,0,1,1,1,1,1,7.209281628457696e-7
horse,1,0,1,1,1,1,2,6.118451343450314e-7
horse,1,0,1,1,1,2,0,2.700569289452811e-7
horse,1,0,1,1,1,2,1,7.209281628457696e-7
horse,1,0,1,1,1,2,2,6.118451343450314e-7
horse,1,0,1,1,2,0,0,8.174142559491876e-8
horse,1,0,1,1,2,0,1,2.1817122300103737e-7
horse,1,0,1,1,2,0,2,1.8615806808965354e-7
horse,1,0,1,1,2,1,0,8.174142559491876e-8
horse,1,0,1,1,2,1,1,2.1817122300103737e-7
horse,1,0,1,1,2,1,2,1.8615806808965354e-7
horse,1,0,1,1,2,2,0,8.174142559491876e-8
horse,1,0,1,1,2,2,1,2.1817122300103737e-7
horse,1,0,1,1,2,2,2,1.8615806808965354e-7
horse,1,0,1,2,0,0,0,6.927163244751039e-7
horse,1,0,1,2,0,0,1,0.0000018493785008274063
horse,1,0,1,2,0,0,2,0.0000015660469158251773
horse,1,0,1,2,0,1,0,6.927163244751039e-7
horse,1,0,1,2,0,1,1,0.0000018493785008274063
horse,1,0,1,2,0,1,2,0.0000015660469158251773
horse,1,0,1,2,0,2,0,6.927163244751039e-7
horse,1,0,1,2,0,2,1,0.0000018493785008274063
horse,1,0,1,2,0,2,2,0.0000015660469158251773
horse,1,0,1,2,1,0,0,2.700569289452811e-7
horse,1,0,1,2,1,0,1,7.209281628457696e-7
horse,1,0,1,2,1,0,2,6.118451343450314e-7
horse,1,0,1,2,1,1,0,2.700569289452811e-7
horse,1,0,1,2,1,1,1,7.209281628457696e-7
horse,1,0,1,2,1,1,2,6.118451343450314e-7
horse,1,0,1,2,1,2,0,2.700569289452811e-7
horse,1,0,1,2,1,2,1,7.209281628457696e-7
horse,1,0,1,2,1,2,2,6.118451343450314e-7
horse,1,0,1,2,2,0,0,8.174142559491876e-8
horse,1,0,1,2,2,0,1,2.1817122300103737e-7
horse,1,0,1,2,2,0,2,1.8615806808965354e-7
horse,1,0,1,2,2,1,0,8.174142559491876e-8
horse,1,0,1,2,2,1,1,2.1817122300103737e-7
horse,1,0,1,2,2,1,2,1.8615806808965354e-7
horse,1,0,1,2,2,2,0,8.174142559491876e-8
horse,1,0,1,2,2,2,1,2.1817122300103737e-7
horse,1,0,1,2,2,2,2,1.8615806808965354e-7
horse,1,0,2,0,0,0,0,6.927163244751039e-7
horse,1,0,2,0,0,0,1,0.0000018493785008274063
horse,1,0,2,0,0,0,2,0.0000015660469158251773
horse,1,0,2,0,0,1,0,6.927163244751039e-7
horse,1,0,2,0,0,1,1,0.0000018493785008274063
horse,1,0,2,0,0,1,2,0.0000015660469158251773
horse,1,0,2,0,0,2,0,6.927163244751039e-7
horse,1,0,2,0,0,2,1,0.0000018493785008274063
horse,1,0,2,0,0,2,2,0.0000015660469158251773
horse,1,0,2,0,1,0,0,2.700569289452811e-7
horse,1,0,2,0,1,0,1,7.209281628457696e-7
horse,1,0,2,0,1,0,2,6.118451343450314e-7
horse,1,0,2,0,1,1,0,2.700569289452811e-7
horse,1,0,2,0,1,1,1,7.209281628457696e-7
horse,1,0,2,0,1,1,2,6.118451343450314e-7
horse,1,0,2,0,1,2,0,2.700569289452811e-7
horse,1,0,2,0,1,2,1,7.209281628457696e-7
horse,1,0,2,0,1,2,2,6.118451343450314e-7
horse,1,0,2,0,2,0,0,8.174142559491876e-8
horse,1,0,2,0,2,0,1,2.1817122300103737e-7
horse,1,0,2,0,2,0,2,1.8615806808965354e-7
horse,1,0,2,0,2,1,0,8.174142559491876e-8
horse,1,0,2,0,2,1,1,2.1817122300103737e-7
horse,1,0,2,0,2,1,2,1.8615806808965354e-7
horse,1,0,2,0,2,2,0,8.174142559491876e-8
horse,1,0,2,0,2,2,1,2.1817122300103737e-7
horse,1,0,2,0,2,2,2,1.8615806808965354e-7
horse,1,0,2,1,0,0,0,6.927163244751039e-7
horse,1,0,2,1,0,0,1,0.0000018493785008274063
horse,1,0,2,1,0,0,2,0.0000015660469158251773
horse,1,0,2,1,0,1,0,6.927163244751039e-7
horse,1,0,2,1,0,1,1,0.0000018493785008274063
horse,1,0,2,1,0,1,2,0.0000015660469158251773
horse,1,0,2,1,0,2,0,6.927163244751039e-7
horse,1,0,2,1,0,2,1,0.0000018493785008274063
horse,1,0,2,1,0,2,2,0.0000015660469158251773
horse,1,0,2,1,1,0,0,2.700569289452811e-7
horse,1,0,2,1,1,0,1,7.209281628457696e-7
horse,1,0,2,1,1,0,2,6.118451343450314e-7
horse,1,0,2,1,1,1,0,2.700569289452811e-7
horse,1,0,2,1,1,1,1,7.209281628457696e-7
horse,1,0,2,1,1,1,2,6.118451343450314e-7
horse,1,0,2,1,1,2,0,2.700569289452811e-7
horse,1,0,2,1,1,2,1,7.209281628457696e-7
horse,1,0,2,1,1,2,2,6.118451343450314e-7
horse,1,0,2,1,2,0,0,8.174142559491876e-8
horse,1,0,2,1,2,0,1,2.1817122300103737e-7
horse,1,0,2,1,2,0,2,1.8615806808965354e-7
horse,1,0,2,1,2,1,0,8.174142559491876e-8
horse,1,0,2,1,2,1,1,2.1817122300103737e-7
horse,1,0,2,1,2,1,2,1.8615806808965354e-7
horse,1,0,2,1,2,2,0,8.174142559491876e-8
horse,1,0,2,1,2,2,1,2.1817122300103737e-7
horse,1,0,2,1,2,2,2,1.8615806808965354e-7
horse,1,0,2,2,0,0,0,6.927163244751039e-7
horse,1,0,2,2,0,0,1,0.0000018493785008274063
horse,1,0,2,2,0,0,2,0.0000015660469158251773
horse,1,0,2,2,0,1,0,6.927163244751039e-7
horse,1,0,2,2,0,1,1,0.0000018493785008274063
horse,1,0,2,2,0,1,2,0.0000015660469158251773
horse,1,0,2,2,0,2,0,6.927163244751039e-7
horse,1,0,2,2,0,2,1,0.0000018493785008274063
horse,1,0,2,2,0,2,2,0.0000015660469158251773
horse,1,0,2,2,1,0,0,2.700569289452811e-7
horse,1,0,2,2,1,0,1,7.209281628457696e-7
horse,1,0,2,2,1,0,2,6.118451343450314e-7
horse,1,0,2,2,1,1,0,2.700569289452811e-7
horse,1,0,2,2,1,1,1,7.209281628457696e-7
horse,1,0,2,2,1,1,2,6.118451343450314e-7
horse,1,0,2,2,1,2,0,2.700569289452811e-7
horse,1,0,2,2,1,2,1,7.209281628457696e-7
horse,1,0,2,2,1,2,2,6.118451343450314e-7
horse,1,0,2,2,2,0,0,8.174142559491876e-8
horse,1,0,2,2,2,0,1,2.1817122300103737e-7
horse,1,0,2,2,2,0,2,1.8615806808965354e-7
horse,1,0,2,2,2,1,0,8.174142559491876e-8
horse,1,0,2,2,2,1,1,2.1817122300103737e-7
horse,1,0,2,2,2,1,2,1.8615806808965354e-7
horse,1,0,2,2,2,2,0,8.174142559491876e-8
horse,1,0,2,2,2,2,1,2.1817122300103737e-7
horse,1,0,2,2,2,2,2,1.8615806808965354e-7
horse,1,1,0,0,0,0,0,6.927163244751039e-7
horse,1,1,0,0,0,0,1,0.0000018493785008274063
horse,1,1,0,0,0,0,2,0.0000015660469158251773
horse,1,1,0,0,0,1,0,6.927163244751039e-7
horse,1,1,0,0,0,1,1,0.0000018493785008274063
horse,1,1,0,0,0,1,2,0.0000015660469158251773
horse,1,1,0,0,0,2,0,6.927163244751039e-7
horse,1,1,0,0,0,2,1,0.0000018493785008274063
horse,1,1,0,0,0,2,2,0.0000015660469158251773
horse,1,1,0,0,1,0,0,2.700569289452811e-7
horse,1,1,0,0,1,0,1,7.209281628457696e-7
horse,1,1,0,0,1,0,2,6.118451343450314e-7
horse,1,1,0,0,1,1,0,2.700569289452811e-7
horse,1,1,0,0,1,1,1,7.209281628457696e-7
horse,1,1,0,0,1,1,2,6.118451343450314e-7
horse,1,1,0,0,1,2,0,2.700569289452811e-7
horse,1,1,0,0,1,2,1,7.209281628457696e-7
