category,industrious,agile,quiet,fast,sleek,small,prob
ant,2,0,1,2,1,2,0.0000015016390582446807
ant,2,0,1,2,2,0,1.5049716629586958e-7
ant,2,0,1,2,2,1,7.03456362377009e-8
ant,2,0,1,2,2,2,0.0000015016390582446807
ant,2,0,2,0,0,0,0.0000017554581471145109
ant,2,0,2,0,0,1,8.237966575446825e-7
ant,2,0,2,0,0,2,0.000017267949524641127
ant,2,0,2,0,1,0,0.0000017554581471145109
ant,2,0,2,0,1,1,8.237966575446825e-7
ant,2,0,2,0,1,2,0.000017267949524641127
ant,2,0,2,0,2,0,0.0000017554581471145109
ant,2,0,2,0,2,1,8.237966575446825e-7
ant,2,0,2,0,2,2,0.000017267949524641127
ant,2,0,2,1,0,0,7.895150023344702e-7
ant,2,0,2,1,0,1,3.7514571352629967e-7
ant,2,0,2,1,0,2,0.00000741300376161117
ant,2,0,2,1,1,0,7.895150023344702e-7
ant,2,0,2,1,1,1,3.7514571352629967e-7
ant,2,0,2,1,1,2,0.00000741300376161117
ant,2,0,2,1,2,0,7.895150023344702e-7
ant,2,0,2,1,2,1,3.7514571352629967e-7
ant,2,0,2,1,2,2,0.00000741300376161117
ant,2,0,2,2,0,0,1.5049716629586958e-7
ant,2,0,2,2,0,1,7.03456362377009e-8
ant,2,0,2,2,0,2,0.0000015016390582446807
ant,2,0,2,2,1,0,1.5049716629586958e-7
ant,2,0,2,2,1,1,7.03456362377009e-8
ant,2,0,2,2,1,2,0.0000015016390582446807
ant,2,0,2,2,2,0,1.5049716629586958e-7
ant,2,0,2,2,2,1,7.03456362377009e-8
ant,2,0,2,2,2,2,0.0000015016390582446807
ant,2,1,0,0,0,0,0.0000017554581471145109
ant,2,1,0,0,0,1,8.237966575446825e-7
ant,2,1,0,0,0,2,0.000017267949524641127
ant,2,1,0,0,1,0,0.0000017554581471145109
ant,2,1,0,0,1,1,8.237966575446825e-7
ant,2,1,0,0,1,2,0.000017267949524641127
ant,2,1,0,0,2,0,0.0000017554581471145109
ant,2,1,0,0,2,1,8.237966575446825e-7
ant,2,1,0,0,2,2,0.000017267949524641127
ant,2,1,0,1,0,0,7.895150023344702e-7
ant,2,1,0,1,0,1,3.7514571352629967e-7
ant,2,1,0,1,0,2,0.00000741300376161117
ant,2,1,0,1,1,0,7.895150023344702e-7
ant,2,1,0,1,1,1,3.7514571352629967e-7
ant,2,1,0,1,1,2,0.00000741300376161117
ant,2,1,0,1,2,0,7.895150023344702e-7
ant,2,1,0,1,2,1,3.7514571352629967e-7
ant,2,1,0,1,2,2,0.00000741300376161117
ant,2,1,0,2,0,0,1.5049716629586958e-7
ant,2,1,0,2,0,1,7.03456362377009e-8
ant,2,1,0,2,0,2,0.0000015016390582446807
ant,2,1,0,2,1,0,1.5049716629586958e-7
ant,2,1,0,2,1,1,7.03456362377009e-8
ant,2,1,0,2,1,2,0.0000015016390582446807
ant,2,1,0,2,2,0,1.5049716629586958e-7
ant,2,1,0,2,2,1,7.03456362377009e-8
ant,2,1,0,2,2,2,0.0000015016390582446807
ant,2,1,1,0,0,0,0.0000017554581471145109
ant,2,1,1,0,0,1,8.237966575446825e-7
ant,2,1,1,0,0,2,0.000017267949524641127
ant,2,1,1,0,1,0,0.0000017554581471145109
ant,2,1,1,0,1,1,8.237966575446825e-7
ant,2,1,1,0,1,2,0.000017267949524641127
ant,2,1,1,0,2,0,0.0000017554581471145109
ant,2,1,1,0,2,1,8.237966575446825e-7
ant,2,1,1,0,2,2,0.000017267949524641127
ant,2,1,1,1,0,0,7.895150023344702e-7
ant,2,1,1,1,0,1,3.7514571352629967e-7
ant,2,1,1,1,0,2,0.00000741300376161117
ant,2,1,1,1,1,0,7.895150023344702e-7
ant,2,1,1,1,1,1,3.7514571352629967e-7
ant,2,1,1,1,1,2,0.00000741300376161117
ant,2,1,1,1,2,0,7.895150023344702e-7
ant,2,1,1,1,2,1,3.7514571352629967e-7
ant,2,1,1,1,2,2,0.00000741300376161117
ant,2,1,1,2,0,0,1.5049716629586958e-7
ant,2,1,1,2,0,1,7.03456362377009e-8
ant,2,1,1,2,0,2,0.0000015016390582446807
ant,2,1,1,2,1,0,1.5049716629586958e-7
ant,2,1,1,2,1,1,7.03456362377009e-8
ant,2,1,1,2,1,2,0.0000015016390582446807
ant,2,1,1,2,2,0,1.5049716629586958e-7
ant,2,1,1,2,2,1,7.03456362377009e-8
ant,2,1,1,2,2,2,0.0000015016390582446807
ant,2,1,2,0,0,0,0.0000017554581471145109
ant,2,1,2,0,0,1,8.237966575446825e-7
ant,2,1,2,0,0,2,0.000017267949524641127
ant,2,1,2,0,1,0,0.0000017554581471145109
ant,2,1,2,0,1,1,8.237966575446825e-7
ant,2,1,2,0,1,2,0.000017267949524641127
ant,2,1,2,0,2,0,0.0000017554581471145109
ant,2,1,2,0,2,1,8.237966575446825e-7
ant,2,1,2,0,2,2,0.000017267949524641127
ant,2,1,2,1,0,0,7.895150023344702e-7
ant,2,1,2,1,0,1,3.7514571352629967e-7
ant,2,1,2,1,0,2,0.00000741300376161117
ant,2,1,2,1,1,0,7.895150023344702e-7
ant,2,1,2,1,1,1,3.7514571352629967e-7
ant,2,1,2,1,1,2,0.00000741300376161117
ant,2,1,2,1,2,0,7.895150023344702e-7
ant,2,1,2,1,2,1,3.7514571352629967e-7
ant,2,1,2,1,2,2,0.00000741300376161117
ant,2,1,2,2,0,0,1.5049716629586958e-7
ant,2,1,2,2,0,1,7.03456362377009e-8
ant,2,1,2,2,0,2,0.0000015016390582446807
ant,2,1,2,2,1,0,1.5049716629586958e-7
ant,2,1,2,2,1,1,7.03456362377009e-8
ant,2,1,2,2,1,2,0.0000015016390582446807
ant,2,1,2,2,2,0,1.5049716629586958e-7
ant,2,1,2,2,2,1,7.03456362377009e-8
ant,2,1,2,2,2,2,0.0000015016390582446807
ant,2,2,0,0,0,0,0.0000017554581471145109
ant,2,2,0,0,0,1,8.237966575446825e-7
ant,2,2,0,0,0,2,0.000017267949524641127
ant,2,2,0,0,1,0,0.0000017554581471145109
ant,2,2,0,0,1,1,8.237966575446825e-7
ant,2,2,0,0,1,2,0.000017267949524641127
ant,2,2,0,0,2,0,0.0000017554581471145109
ant,2,2,0,0,2,1,8.237966575446825e-7
ant,2,2,0,0,2,2,0.000017267949524641127
ant,2,2,0,1,0,0,7.895150023344702e-7
ant,2,2,0,1,0,1,3.7514571352629967e-7
ant,2,2,0,1,0,2,0.00000741300376161117
ant,2,2,0,1,1,0,7.895150023344702e-7
ant,2,2,0,1,1,1,3.7514571352629967e-7
ant,2,2,0,1,1,2,0.00000741300376161117
ant,2,2,0,1,2,0,7.895150023344702e-7
ant,2,2,0,1,2,1,3.7514571352629967e-7
ant,2,2,0,1,2,2,0.00000741300376161117
ant,2,2,0,2,0,0,1.5049716629586958e-7
ant,2,2,0,2,0,1,7.03456362377009e-8
ant,2,2,0,2,0,2,0.0000015016390582446807
ant,2,2,0,2,1,0,1.5049716629586958e-7
ant,2,2,0,2,1,1,7.03456362377009e-8
ant,2,2,0,2,1,2,0.0000015016390582446807
ant,2,2,0,2,2,0,1.5049716629586958e-7
ant,2,2,0,2,2,1,7.03456362377009e-8
ant,2,2,0,2,2,2,0.0000015016390582446807
ant,2,2,1,0,0,0,0.0000017554581471145109
ant,2,2,1,0,0,1,8.237966575446825e-7
ant,2,2,1,0,0,2,0.000017267949524641127
ant,2,2,1,0,1,0,0.0000017554581471145109
ant,2,2,1,0,1,1,8.237966575446825e-7
ant,2,2,1,0,1,2,0.000017267949524641127
ant,2,2,1,0,2,0,0.0000017554581471145109
ant,2,2,1,0,2,1,8.237966575446825e-7
ant,2,2,1,0,2,2,0.000017267949524641127
ant,2,2,1,1,0,0,7.895150023344702e-7
ant,2,2,1,1,0,1,3.7514571352629967e-7
ant,2,2,1,1,0,2,0.00000741300376161117
ant,2,2,1,1,1,0,7.895150023344702e-7
ant,2,2,1,1,1,1,3.7514571352629967e-7
ant,2,2,1,1,1,2,0.00000741300376161117
ant,2,2,1,1,2,0,7.895150023344702e-7
ant,2,2,1,1,2,1,3.7514571352629967e-7
ant,2,2,1,1,2,2,0.00000741300376161117
ant,2,2,1,2,0,0,1.5049716629586958e-7
ant,2,2,1,2,0,1,7.03456362377009e-8
ant,2,2,1,2,0,2,0.0000015016390582446807
ant,2,2,1,2,1,0,1.5049716629586958e-7
ant,2,2,1,2,1,1,7.03456362377009e-8
ant,2,2,1,2,1,2,0.0000015016390582446807
ant,2,2,1,2,2,0,1.5049716629586958e-7
ant,2,2,1,2,2,1,7.03456362377009e-8
ant,2,2,1,2,2,2,0.0000015016390582446807
ant,2,2,2,0,0,0,0.0000017554581471145109
ant,2,2,2,0,0,1,8.237966575446825e-7
ant,2,2,2,0,0,2,0.000017267949524641127
ant,2,2,2,0,1,0,0.0000017554581471145109
ant,2,2,2,0,1,1,8.237966575446825e-7
ant,2,2,2,0,1,2,0.000017267949524641127
ant,2,2,2,0,2,0,0.0000017554581471145109
ant,2,2,2,0,2,1,8.237966575446825e-7
ant,2,2,2,0,2,2,0.000017267949524641127
ant,2,2,2,1,0,0,7.895150023344702e-7
ant,2,2,2,1,0,1,3.7514571352629967e-7
ant,2,2,2,1,0,2,0.00000741300376161117
ant,2,2,2,1,1,0,7.895150023344702e-7
ant,2,2,2,1,1,1,3.7514571352629967e-7
ant,2,2,2,1,1,2,0.00000741300376161117
ant,2,2,2,1,2,0,7.895150023344702e-7
ant,2,2,2,1,2,1,3.7514571352629967e-7
ant,2,2,2,1,2,2,0.00000741300376161117
ant,2,2,2,2,0,0,1.5049716629586958e-7
ant,2,2,2,2,0,1,7.03456362377009e-8
ant,2,2,2,2,0,2,0.0000015016390582446807
ant,2,2,2,2,1,0,1.5049716629586958e-7
ant,2,2,2,2,1,1,7.03456362377009e-8
ant,2,2,2,2,1,2,0.0000015016390582446807
ant,2,2,2,2,2,0,1.5049716629586958e-7
ant,2,2,2,2,2,1,7.03456362377009e-8
ant,2,2,2,2,2,2,0.0000015016390582446807
cheetah,0,0,0,0,0,0,3.9896776070784437e-7
cheetah,0,0,0,0,0,1,7.489060523133471e-7
cheetah,0,0,0,0,0,2,3.1396271862983946e-7
cheetah,0,0,0,0,1,0,3.9896776070784437e-7
cheetah,0,0,0,0,1,1,7.489060523133471e-7
cheetah,0,0,0,0,1,2,3.1396271862983946e-7
cheetah,0,0,0,0,2,0,3.9896776070784437e-7
cheetah,0,0,0,0,2,1,7.489060523133471e-7
cheetah,0,0,0,0,2,2,3.1396271862983946e-7
cheetah,0,0,0,1,0,0,9.86893752918088e-7
cheetah,0,0,0,1,0,1,0.0000018757285676314966
cheetah,0,0,0,1,0,2,7.413003761611179e-7
cheetah,0,0,0,1,1,0,9.86893752918088e-7
cheetah,0,0,0,1,1,1,0.0000018757285676314966
cheetah,0,0,0,1,1,2,7.413003761611179e-7
cheetah,0,0,0,1,2,0,9.86893752918088e-7
cheetah,0,0,0,1,2,1,0.0000018757285676314966
cheetah,0,0,0,1,2,2,7.413003761611179e-7
cheetah,0,0,0,2,0,0,0.000004891157904615765
cheetah,0,0,0,2,0,1,0.000009144932710901107
cheetah,0,0,0,2,0,2,0.000003904261551436172
cheetah,0,0,0,2,1,0,0.000004891157904615765
cheetah,0,0,0,2,1,1,0.000009144932710901107
cheetah,0,0,0,2,1,2,0.000003904261551436172
cheetah,0,0,0,2,2,0,0.000004891157904615765
cheetah,0,0,0,2,2,1,0.000009144932710901107
cheetah,0,0,0,2,2,2,0.000003904261551436172
cheetah,0,0,1,0,0,0,3.9896776070784437e-7
cheetah,0,0,1,0,0,1,7.489060523133471e-7
cheetah,0,0,1,0,0,2,3.1396271862983946e-7
cheetah,0,0,1,0,1,0,3.9896776070784437e-7
cheetah,0,0,1,0,1,1,7.489060523133471e-7
cheetah,0,0,1,0,1,2,3.1396271862983946e-7
cheetah,0,0,1,0,2,0,3.9896776070784437e-7
cheetah,0,0,1,0,2,1,7.489060523133471e-7
cheetah,0,0,1,0,2,2,3.1396271862983946e-7
cheetah,0,0,1,1,0,0,9.86893752918088e-7
cheetah,0,0,1,1,0,1,0.0000018757285676314966
cheetah,0,0,1,1,0,2,7.413003761611179e-7
cheetah,0,0,1,1,1,0,9.86893752918088e-7
cheetah,0,0,1,1,1,1,0.0000018757285676314966
cheetah,0,0,1,1,1,2,7.413003761611179e-7
cheetah,0,0,1,1,2,0,9.86893752918088e-7
cheetah,0,0,1,1,2,1,0.0000018757285676314966
cheetah,0,0,1,1,2,2,7.413003761611179e-7
cheetah,0,0,1,2,0,0,0.000004891157904615765
cheetah,0,0,1,2,0,1,0.000009144932710901107
cheetah,0,0,1,2,0,2,0.000003904261551436172
cheetah,0,0,1,2,1,0,0.000004891157904615765
cheetah,0,0,1,2,1,1,0.000009144932710901107
cheetah,0,0,1,2,1,2,0.000003904261551436172
cheetah,0,0,1,2,2,0,0.000004891157904615765
cheetah,0,0,1,2,2,1,0.000009144932710901107
cheetah,0,0,1,2,2,2,0.000003904261551436172
cheetah,0,0,2,0,0,0,3.9896776070784437e-7
cheetah,0,0,2,0,0,1,7.489060523133471e-7
cheetah,0,0,2,0,0,2,3.1396271862983946e-7
cheetah,0,0,2,0,1,0,3.9896776070784437e-7
cheetah,0,0,2,0,1,1,7.489060523133471e-7
cheetah,0,0,2,0,1,2,3.1396271862983946e-7
cheetah,0,0,2,0,2,0,3.9896776070784437e-7
cheetah,0,0,2,0,2,1,7.489060523133471e-7
cheetah,0,0,2,0,2,2,3.1396271862983946e-7
cheetah,0,0,2,1,0,0,9.86893752918088e-7
cheetah,0,0,2,1,0,1,0.0000018757285676314966
cheetah,0,0,2,1,0,2,7.413003761611179e-7
cheetah,0,0,2,1,1,0,9.86893752918088e-7
cheetah,0,0,2,1,1,1,0.0000018757285676314966
cheetah,0,0,2,1,1,2,7.413003761611179e-7
cheetah,0,0,2,1,2,0,9.86893752918088e-7
cheetah,0,0,2,1,2,1,0.0000018757285676314966
cheetah,0,0,2,1,2,2,7.413003761611179e-7
cheetah,0,0,2,2,0,0,0.000004891157904615765
cheetah,0,0,2,2,0,1,0.000009144932710901107
cheetah,0,0,2,2,0,2,0.000003904261551436172
cheetah,0,0,2,2,1,0,0.000004891157904615765
cheetah,0,0,2,2,1,1,0.000009144932710901107
cheetah,0,0,2,2,1,2,0.000003904261551436172
cheetah,0,0,2,2,2,0,0.000004891157904615765
cheetah,0,0,2,2,2,1,0.000009144932710901107
cheetah,0,0,2,2,2,2,0.000003904261551436172
cheetah,0,1,0,0,0,0,3.9896776070784437e-7
cheetah,0,1,0,0,0,1,7.489060523133471e-7
cheetah,0,1,0,0,0,2,3.1396271862983946e-7
cheetah,0,1,0,0,1,0,3.9896776070784437e-7
cheetah,0,1,0,0,1,1,7.489060523133471e-7
cheetah,0,1,0,0,1,2,3.1396271862983946e-7
cheetah,0,1,0,0,2,0,3.9896776070784437e-7
cheetah,0,1,0,0,2,1,7.489060523133471e-7
cheetah,0,1,0,0,2,2,3.1396271862983946e-7
cheetah,0,1,0,1,0,0,9.86893752918088e-7
cheetah,0,1,0,1,0,1,0.0000018757285676314966
cheetah,0,1,0,1,0,2,7.413003761611179e-7
cheetah,0,1,0,1,1,0,9.86893752918088e-7
cheetah,0,1,0,1,1,1,0.0000018757285676314966
cheetah,0,1,0,1,1,2,7.413003761611179e-7
cheetah,0,1,0,1,2,0,9.86893752918088e-7
cheetah,0,1,0,1,2,1,0.0000018757285676314966
cheetah,0,1,0,1,2,2,7.413003761611179e-7
cheetah,0,1,0,2,0,0,0.000004891157904615765
cheetah,0,1,0,2,0,1,0.000009144932710901107
cheetah,0,1,0,2,0,2,0.000003904261551436172
cheetah,0,1,0,2,1,0,0.000004891157904615765
cheetah,0,1,0,2,1,1,0.000009144932710901107
cheetah,0,1,0,2,1,2,0.000003904261551436172
cheetah,0,1,0,2,2,0,0.000004891157904615765
cheetah,0,1,0,2,2,1,0.000009144932710901107
cheetah,0,1,0,2,2,2,0.000003904261551436172
cheetah,0,1,1,0,0,0,3.9896776070784437e-7
cheetah,0,1,1,0,0,1,7.489060523133471e-7
cheetah,0,1,1,0,0,2,3.1396271862983946e-7
cheetah,0,1,1,0,1,0,3.9896776070784437e-7
cheetah,0,1,1,0,1,1,7.489060523133471e-7
cheetah,0,1,1,0,1,2,3.1396271862983946e-7
cheetah,0,1,1,0,2,0,3.9896776070784437e-7
cheetah,0,1,1,0,2,1,7.489060523133471e-7
cheetah,0,1,1,0,2,2,3.1396271862983946e-7
cheetah,0,1,1,1,0,0,9.86893752918088e-7
cheetah,0,1,1,1,0,1,0.0000018757285676314966
cheetah,0,1,1,1,0,2,7.413003761611179e-7
cheetah,0,1,1,1,1,0,9.86893752918088e-7
cheetah,0,1,1,1,1,1,0.0000018757285676314966
cheetah,0,1,1,1,1,2,7.413003761611179e-7
cheetah,0,1,1,1,2,0,9.86893752918088e-7
cheetah,0,1,1,1,2,1,0.0000018757285676314966
cheetah,0,1,1,1,2,2,7.413003761611179e-7
cheetah,0,1,1,2,0,0,0.000004891157904615765
cheetah,0,1,1,2,0,1,0.000009144932710901107
cheetah,0,1,1,2,0,2,0.000003904261551436172
cheetah,0,1,1,2,1,0,0.000004891157904615765
cheetah,0,1,1,2,1,1,0.000009144932710901107
cheetah,0,1,1,2,1,2,0.000003904261551436172
cheetah,0,1,1,2,2,0,0.000004891157904615765
cheetah,0,1,1,2,2,1,0.000009144932710901107
cheetah,0,1,1,2,2,2,0.000003904261551436172
cheetah,0,1,2,0,0,0,3.9896776070784437e-7
cheetah,0,1,2,0,0,1,7.489060523133471e-7
cheetah,0,1,2,0,0,2,3.1396271862983946e-7
cheetah,0,1,2,0,1,0,3.9896776070784437e-7
cheetah,0,1,2,0,1,1,7.489060523133471e-7
cheetah,0,1,2,0,1,2,3.1396271862983946e-7
cheetah,0,1,2,0,2,0,3.9896776070784437e-7
cheetah,0,1,2,0,2,1,7.489060523133471e-7
cheetah,0,1,2,0,2,2,3.1396271862983946e-7
cheetah,0,1,2,1,0,0,9.86893752918088e-7
cheetah,0,1,2,1,0,1,0.0000018757285676314966
cheetah,0,1,2,1,0,2,7.413003761611179e-7
cheetah,0,1,2,1,1,0,9.86893752918088e-7
cheetah,0,1,2,1,1,1,0.0000018757285676314966
cheetah,0,1,2,1,1,2,7.413003761611179e-7
cheetah,0,1,2,1,2,0,9.86893752918088e-7
cheetah,0,1,2,1,2,1,0.0000018757285676314966
cheetah,0,1,2,1,2,2,7.413003761611179e-7
cheetah,0,1,2,2,0,0,0.000004891157904615765
cheetah,0,1,2,2,0,1,0.000009144932710901107
cheetah,0,1,2,2,0,2,0.000003904261551436172
cheetah,0,1,2,2,1,0,0.000004891157904615765
cheetah,0,1,2,2,1,1,0.000009144932710901107
cheetah,0,1,2,2,1,2,0.000003904261551436172
cheetah,0,1,2,2,2,0,0.000004891157904615765
cheetah,0,1,2,2,2,1,0.000009144932710901107
cheetah,0,1,2,2,2,2,0.000003904261551436172
cheetah,0,2,0,0,0,0,3.9896776070784437e-7
cheetah,0,2,0,0,0,1,7.489060523133471e-7
cheetah,0,2,0,0,0,2,3.1396271862983946e-7
cheetah,0,2,0,0,1,0,3.9896776070784437e-7
cheetah,0,2,0,0,1,1,7.489060523133471e-7
cheetah,0,2,0,0,1,2,3.1396271862983946e-7
cheetah,0,2,0,0,2,0,3.9896776070784437e-7
cheetah,0,2,0,0,2,1,7.489060523133471e-7
cheetah,0,2,0,0,2,2,3.1396271862983946e-7
cheetah,0,2,0,1,0,0,9.86893752918088e-7
cheetah,0,2,0,1,0,1,0.0000018757285676314966
cheetah,0,2,0,1,0,2,7.413003761611179e-7
cheetah,0,2,0,1,1,0,9.86893752918088e-7
cheetah,0,2,0,1,1,1,0.0000018757285676314966
cheetah,0,2,0,1,1,2,7.413003761611179e-7
cheetah,0,2,0,1,2,0,9.86893752918088e-7
cheetah,0,2,0,1,2,1,0.0000018757285676314966
cheetah,0,2,0,1,2,2,7.413003761611179e-7
cheetah,0,2,0,2,0,0,0.000004891157904615765
cheetah,0,2,0,2,0,1,0.000009144932710901107
cheetah,0,2,0,2,0,2,0.000003904261551436172
cheetah,0,2,0,2,1,0,0.000004891157904615765
cheetah,0,2,0,2,1,1,0.000009144932710901107
cheetah,0,2,0,2,1,2,0.000003904261551436172
cheetah,0,2,0,2,2,0,0.000004891157904615765
cheetah,0,2,0,2,2,1,0.000009144932710901107
cheetah,0,2,0,2,2,2,0.000003904261551436172
cheetah,0,2,1,0,0,0,3.9896776070784437e-7
cheetah,0,2,1,0,0,1,7.489060523133471e-7
cheetah,0,2,1,0,0,2,3.1396271862983946e-7
cheetah,0,2,1,0,1,0,3.9896776070784437e-7
cheetah,0,2,1,0,1,1,7.489060523133471e-7
cheetah,0,2,1,0,1,2,3.1396271862983946e-7
cheetah,0,2,1,0,2,0,3.9896776070784437e-7
cheetah,0,2,1,0,2,1,7.489060523133471e-7
cheetah,0,2,1,0,2,2,3.1396271862983946e-7
cheetah,0,2,1,1,0,0,9.86893752918088e-7
cheetah,0,2,1,1,0,1,0.0000018757285676314966
cheetah,0,2,1,1,0,2,7.413003761611179e-7
cheetah,0,2,1,1,1,0,9.86893752918088e-7
cheetah,0,2,1,1,1,1,0.0000018757285676314966
cheetah,0,2,1,1,1,2,7.413003761611179e-7
cheetah,0,2,1,1,2,0,9.86893752918088e-7
cheetah,0,2,1,1,2,1,0.0000018757285676314966
cheetah,0,2,1,1,2,2,7.413003761611179e-7
cheetah,0,2,1,2,0,0,0.000004891157904615765
cheetah,0,2,1,2,0,1,0.000009144932710901107
cheetah,0,2,1,2,0,2,0.000003904261551436172
cheetah,0,2,1,2,1,0,0.000004891157904615765
cheetah,0,2,1,2,1,1,0.000009144932710901107
cheetah,0,2,1,2,1,2,0.000003904261551436172
cheetah,0,2,1,2,2,0,0.000004891157904615765
cheetah,0,2,1,2,2,1,0.000009144932710901107
cheetah,0,2,1,2,2,2,0.000003904261551436172
cheetah,0,2,2,0,0,0,3.9896776070784437e-7
cheetah,0,2,2,0,0,1,7.489060523133471e-7
cheetah,0,2,2,0,0,2,3.1396271862983946e-7
cheetah,0,2,2,0,1,0,3.9896776070784437e-7
cheetah,0,2,2,0,1,1,7.489060523133471e-7
cheetah,0,2,2,0,1,2,3.1396271862983946e-7
cheetah,0,2,2,0,2,0,3.9896776070784437e-7
cheetah,0,2,2,0,2,1,7.489060523133471e-7
cheetah,0,2,2,0,2,2,3.1396271862983946e-7
cheetah,0,2,2,1,0,0,9.86893752918088e-7
cheetah,0,2,2,1,0,1,0.0000018757285676314966
cheetah,0,2,2,1,0,2,7.413003761611179e-7
cheetah,0,2,2,1,1,0,9.86893752918088e-7
cheetah,0,2,2,1,1,1,0.0000018757285676314966
cheetah,0,2,2,1,1,2,7.413003761611179e-7
cheetah,0,2,2,1,2,0,9.86893752918088e-7
cheetah,0,2,2,1,2,1,0.0000018757285676314966
cheetah,0,2,2,1,2,2,7.413003761611179e-7
cheetah,0,2,2,2,0,0,0.000004891157904615765
cheetah,0,2,2,2,0,1,0.000009144932710901107
cheetah,0,2,2,2,0,2,0.000003904261551436172
cheetah,0,2,2,2,1,0,0.000004891157904615765
cheetah,0,2,2,2,1,1,0.000009144932710901107
cheetah,0,2,2,2,1,2,0.000003904261551436172
cheetah,0,2,2,2,2,0,0.000004891157904615765
cheetah,0,2,2,2,2,1,0.000009144932710901107
cheetah,0,2,2,2,2,2,0.000003904261551436172
cheetah,1,0,0,0,0,0,3.9896776070784437e-7
cheetah,1,0,0,0,0,1,7.489060523133471e-7
cheetah,1,0,0,0,0,2,3.1396271862983946e-7
cheetah,1,0,0,0,1,0,3.9896776070784437e-7
cheetah,1,0,0,0,1,1,7.489060523133471e-7
cheetah,1,0,0,0,1,2,3.1396271862983946e-7
cheetah,1,0,0,0,2,0,3.9896776070784437e-7
cheetah,1,0,0,0,2,1,7.489060523133471e-7
cheetah,1,0,0,0,2,2,3.1396271862983946e-7
cheetah,1,0,0,1,0,0,9.86893752918088e-7
cheetah,1,0,0,1,0,1,0.0000018757285676314966
cheetah,1,0,0,1,0,2,7.413003761611179e-7
cheetah,1,0,0,1,1,0,9.86893752918088e-7
cheetah,1,0,0,1,1,1,0.0000018757285676314966
cheetah,1,0,0,1,1,2,7.413003761611179e-7
cheetah,1,0,0,1,2,0,9.86893752918088e-7
cheetah,1,0,0,1,2,1,0.0000018757285676314966
cheetah,1,0,0,1,2,2,7.413003761611179e-7
cheetah,1,0,0,2,0,0,0.000004891157904615765
cheetah,1,0,0,2,0,1,0.000009144932710901107
cheetah,1,0,0,2,0,2,0.000003904261551436172
cheetah,1,0,0,2,1,0,0.000004891157904615765
cheetah,1,0,0,2,1,1,0.000009144932710901107
cheetah,1,0,0,2,1,2,0.000003904261551436172
cheetah,1,0,0,2,2,0,0.000004891157904615765
cheetah,1,0,0,2,2,1,0.000009144932710901107
cheetah,1,0,0,2,2,2,0.000003904261551436172
cheetah,1,0,1,0,0,0,3.9896776070784437e-7
cheetah,1,0,1,0,0,1,7.489060523133471e-7
cheetah,1,0,1,0,0,2,3.1396271862983946e-7
cheetah,1,0,1,0,1,0,3.9896776070784437e-7
cheetah,1,0,1,0,1,1,7.489060523133471e-7
cheetah,1,0,1,0,1,2,3.1396271862983946e-7
cheetah,1,0,1,0,2,0,3.9896776070784437e-7
cheetah,1,0,1,0,2,1,7.489060523133471e-7
cheetah,1,0,1,0,2,2,3.1396271862983946e-7
cheetah,1,0,1,1,0,0,9.86893752918088e-7
cheetah,1,0,1,1,0,1,0.0000018757285676314966
cheetah,1,0,1,1,0,2,7.413003761611179e-7
cheetah,1,0,1,1,1,0,9.86893752918088e-7
cheetah,1,0,1,1,1,1,0.0000018757285676314966
cheetah,1,0,1,1,1,2,7.413003761611179e-7
cheetah,1,0,1,1,2,0,9.86893752918088e-7
cheetah,1,0,1,1,2,1,0.0000018757285676314966
cheetah,1,0,1,1,2,2,7.413003761611179e-7
cheetah,1,0,1,2,0,0,0.000004891157904615765
cheetah,1,0,1,2,0,1,0.000009144932710901107
cheetah,1,0,1,2,0,2,0.000003904261551436172
cheetah,1,0,1,2,1,0,0.000004891157904615765
cheetah,1,0,1,2,1,1,0.000009144932710901107
cheetah,1,0,1,2,1,2,0.000003904261551436172
cheetah,1,0,1,2,2,0,0.000004891157904615765
cheetah,1,0,1,2,2,1,0.000009144932710901107
cheetah,1,0,1,2,2,2,0.000003904261551436172
cheetah,1,0,2,0,0,0,3.9896776070784437e-7
cheetah,1,0,2,0,0,1,7.489060523133471e-7
cheetah,1,0,2,0,0,2,3.1396271862983946e-7
cheetah,1,0,2,0,1,0,3.9896776070784437e-7
cheetah,1,0,2,0,1,1,7.489060523133471e-7
cheetah,1,0,2,0,1,2,3.1396271862983946e-7
cheetah,1,0,2,0,2,0,3.9896776070784437e-7
cheetah,1,0,2,0,2,1,7.489060523133471e-7
cheetah,1,0,2,0,2,2,3.1396271862983946e-7
cheetah,1,0,2,1,0,0,9.86893752918088e-7
cheetah,1,0,2,1,0,1,0.0000018757285676314966
cheetah,1,0,2,1,0,2,7.413003761611179e-7
cheetah,1,0,2,1,1,0,9.86893752918088e-7
cheetah,1,0,2,1,1,1,0.0000018757285676314966
cheetah,1,0,2,1,1,2,7.413003761611179e-7
cheetah,1,0,2,1,2,0,9.86893752918088e-7
cheetah,1,0,2,1,2,1,0.0000018757285676314966
cheetah,1,0,2,1,2,2,7.413003761611179e-7
cheetah,1,0,2,2,0,0,0.000004891157904615765
cheetah,1,0,2,2,0,1,0.000009144932710901107
cheetah,1,0,2,2,0,2,0.000003904261551436172
cheetah,1,0,2,2,1,0,0.000004891157904615765
cheetah,1,0,2,2,1,1,0.000009144932710901107
cheetah,1,0,2,2,1,2,0.000003904261551436172
