category,funny,lazy,cute,agile,fast,sleek,dumb,smart,prob
cheetah,0,0,1,2,0,2,2,1,1.8914509000029294e-7
cheetah,0,0,1,2,0,2,2,2,1.8914509000029294e-7
cheetah,0,0,1,2,1,0,0,0,3.782717196170209e-7
cheetah,0,0,1,2,1,0,0,1,3.782717196170209e-7
cheetah,0,0,1,2,1,0,0,2,3.782717196170209e-7
cheetah,0,0,1,2,1,0,1,0,3.782717196170209e-7
cheetah,0,0,1,2,1,0,1,1,3.782717196170209e-7
cheetah,0,0,1,2,1,0,1,2,3.782717196170209e-7
cheetah,0,0,1,2,1,0,2,0,3.782717196170209e-7
cheetah,0,0,1,2,1,0,2,1,3.782717196170209e-7
cheetah,0,0,1,2,1,0,2,2,3.782717196170209e-7
cheetah,0,0,1,2,1,1,0,0,3.782717196170209e-7
cheetah,0,0,1,2,1,1,0,1,3.782717196170209e-7
cheetah,0,0,1,2,1,1,0,2,3.782717196170209e-7
cheetah,0,0,1,2,1,1,1,0,3.782717196170209e-7
cheetah,0,0,1,2,1,1,1,1,3.782717196170209e-7
cheetah,0,0,1,2,1,1,1,2,3.782717196170209e-7
cheetah,0,0,1,2,1,1,2,0,3.782717196170209e-7
cheetah,0,0,1,2,1,1,2,1,3.782717196170209e-7
cheetah,0,0,1,2,1,1,2,2,3.782717196170209e-7
cheetah,0,0,1,2,1,2,0,0,3.782717196170209e-7
cheetah,0,0,1,2,1,2,0,1,3.782717196170209e-7
cheetah,0,0,1,2,1,2,0,2,3.782717196170209e-7
cheetah,0,0,1,2,1,2,1,0,3.782717196170209e-7
cheetah,0,0,1,2,1,2,1,1,3.782717196170209e-7
cheetah,0,0,1,2,1,2,1,2,3.782717196170209e-7
cheetah,0,0,1,2,1,2,2,0,3.782717196170209e-7
cheetah,0,0,1,2,1,2,2,1,3.782717196170209e-7
cheetah,0,0,1,2,1,2,2,2,3.782717196170209e-7
cheetah,0,0,1,2,2,0,0,0,0.0000030347573798564886
cheetah,0,0,1,2,2,0,0,1,0.0000030347573798564886
cheetah,0,0,1,2,2,0,0,2,0.0000030347573798564886
cheetah,0,0,1,2,2,0,1,0,0.0000030347573798564886
cheetah,0,0,1,2,2,0,1,1,0.0000030347573798564886
cheetah,0,0,1,2,2,0,1,2,0.0000030347573798564886
cheetah,0,0,1,2,2,0,2,0,0.0000030347573798564886
cheetah,0,0,1,2,2,0,2,1,0.0000030347573798564886
cheetah,0,0,1,2,2,0,2,2,0.0000030347573798564886
cheetah,0,0,1,2,2,1,0,0,0.0000030347573798564886
cheetah,0,0,1,2,2,1,0,1,0.0000030347573798564886
cheetah,0,0,1,2,2,1,0,2,0.0000030347573798564886
cheetah,0,0,1,2,2,1,1,0,0.0000030347573798564886
cheetah,0,0,1,2,2,1,1,1,0.0000030347573798564886
cheetah,0,0,1,2,2,1,1,2,0.0000030347573798564886
cheetah,0,0,1,2,2,1,2,0,0.0000030347573798564886
cheetah,0,0,1,2,2,1,2,1,0.0000030347573798564886
cheetah,0,0,1,2,2,1,2,2,0.0000030347573798564886
cheetah,0,0,1,2,2,2,0,0,0.0000030347573798564886
cheetah,0,0,1,2,2,2,0,1,0.0000030347573798564886
cheetah,0,0,1,2,2,2,0,2,0.0000030347573798564886
cheetah,0,0,1,2,2,2,1,0,0.0000030347573798564886
cheetah,0,0,1,2,2,2,1,1,0.0000030347573798564886
cheetah,0,0,1,2,2,2,1,2,0.0000030347573798564886
cheetah,0,0,1,2,2,2,2,0,0.0000030347573798564886
cheetah,0,0,1,2,2,2,2,1,0.0000030347573798564886
cheetah,0,0,1,2,2,2,2,2,0.0000030347573798564886
cheetah,0,0,2,0,0,0,0,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,0,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,0,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,1,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,1,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,1,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,2,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,2,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,0,2,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,0,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,0,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,0,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,1,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,1,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,1,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,2,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,2,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,1,2,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,0,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,0,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,0,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,1,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,1,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,1,2,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,2,0,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,2,1,1.6613737958452304e-8
cheetah,0,0,2,0,0,2,2,2,1.6613737958452304e-8
cheetah,0,0,2,0,1,0,0,0,3.322562987854824e-8
cheetah,0,0,2,0,1,0,0,1,3.322562987854824e-8
cheetah,0,0,2,0,1,0,0,2,3.322562987854824e-8
cheetah,0,0,2,0,1,0,1,0,3.322562987854824e-8
cheetah,0,0,2,0,1,0,1,1,3.322562987854824e-8
cheetah,0,0,2,0,1,0,1,2,3.322562987854824e-8
cheetah,0,0,2,0,1,0,2,0,3.322562987854824e-8
cheetah,0,0,2,0,1,0,2,1,3.322562987854824e-8
cheetah,0,0,2,0,1,0,2,2,3.322562987854824e-8
cheetah,0,0,2,0,1,1,0,0,3.322562987854824e-8
cheetah,0,0,2,0,1,1,0,1,3.322562987854824e-8
cheetah,0,0,2,0,1,1,0,2,3.322562987854824e-8
cheetah,0,0,2,0,1,1,1,0,3.322562987854824e-8
cheetah,0,0,2,0,1,1,1,1,3.322562987854824e-8
cheetah,0,0,2,0,1,1,1,2,3.322562987854824e-8
cheetah,0,0,2,0,1,1,2,0,3.322562987854824e-8
cheetah,0,0,2,0,1,1,2,1,3.322562987854824e-8
cheetah,0,0,2,0,1,1,2,2,3.322562987854824e-8
cheetah,0,0,2,0,1,2,0,0,3.322562987854824e-8
cheetah,0,0,2,0,1,2,0,1,3.322562987854824e-8
cheetah,0,0,2,0,1,2,0,2,3.322562987854824e-8
cheetah,0,0,2,0,1,2,1,0,3.322562987854824e-8
cheetah,0,0,2,0,1,2,1,1,3.322562987854824e-8
cheetah,0,0,2,0,1,2,1,2,3.322562987854824e-8
cheetah,0,0,2,0,1,2,2,0,3.322562987854824e-8
cheetah,0,0,2,0,1,2,2,1,3.322562987854824e-8
cheetah,0,0,2,0,1,2,2,2,3.322562987854824e-8
cheetah,0,0,2,0,2,0,0,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,0,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,0,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,1,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,1,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,1,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,2,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,2,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,0,2,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,0,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,0,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,0,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,1,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,1,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,1,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,2,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,2,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,1,2,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,0,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,0,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,0,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,1,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,1,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,1,2,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,2,0,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,2,1,2.7356571444514964e-7
cheetah,0,0,2,0,2,2,2,2,2.7356571444514964e-7
cheetah,0,0,2,1,0,0,0,0,8.546126257639143e-8
cheetah,0,0,2,1,0,0,0,1,8.546126257639143e-8
cheetah,0,0,2,1,0,0,0,2,8.546126257639143e-8
cheetah,0,0,2,1,0,0,1,0,8.546126257639143e-8
cheetah,0,0,2,1,0,0,1,1,8.546126257639143e-8
cheetah,0,0,2,1,0,0,1,2,8.546126257639143e-8
cheetah,0,0,2,1,0,0,2,0,8.546126257639143e-8
cheetah,0,0,2,1,0,0,2,1,8.546126257639143e-8
cheetah,0,0,2,1,0,0,2,2,8.546126257639143e-8
cheetah,0,0,2,1,0,1,0,0,8.546126257639143e-8
cheetah,0,0,2,1,0,1,0,1,8.546126257639143e-8
cheetah,0,0,2,1,0,1,0,2,8.546126257639143e-8
cheetah,0,0,2,1,0,1,1,0,8.546126257639143e-8
cheetah,0,0,2,1,0,1,1,1,8.546126257639143e-8
cheetah,0,0,2,1,0,1,1,2,8.546126257639143e-8
cheetah,0,0,2,1,0,1,2,0,8.546126257639143e-8
cheetah,0,0,2,1,0,1,2,1,8.546126257639143e-8
cheetah,0,0,2,1,0,1,2,2,8.546126257639143e-8
cheetah,0,0,2,1,0,2,0,0,8.546126257639143e-8
cheetah,0,0,2,1,0,2,0,1,8.546126257639143e-8
cheetah,0,0,2,1,0,2,0,2,8.546126257639143e-8
cheetah,0,0,2,1,0,2,1,0,8.546126257639143e-8
cheetah,0,0,2,1,0,2,1,1,8.546126257639143e-8
cheetah,0,0,2,1,0,2,1,2,8.546126257639143e-8
cheetah,0,0,2,1,0,2,2,0,8.546126257639143e-8
cheetah,0,0,2,1,0,2,2,1,8.546126257639143e-8
cheetah,0,0,2,1,0,2,2,2,8.546126257639143e-8
cheetah,0,0,2,1,1,0,0,0,1.70913294961001e-7
cheetah,0,0,2,1,1,0,0,1,1.70913294961001e-7
cheetah,0,0,2,1,1,0,0,2,1.70913294961001e-7
cheetah,0,0,2,1,1,0,1,0,1.70913294961001e-7
cheetah,0,0,2,1,1,0,1,1,1.70913294961001e-7
cheetah,0,0,2,1,1,0,1,2,1.70913294961001e-7
cheetah,0,0,2,1,1,0,2,0,1.70913294961001e-7
cheetah,0,0,2,1,1,0,2,1,1.70913294961001e-7
cheetah,0,0,2,1,1,0,2,2,1.70913294961001e-7
cheetah,0,0,2,1,1,1,0,0,1.70913294961001e-7
cheetah,0,0,2,1,1,1,0,1,1.70913294961001e-7
cheetah,0,0,2,1,1,1,0,2,1.70913294961001e-7
cheetah,0,0,2,1,1,1,1,0,1.70913294961001e-7
cheetah,0,0,2,1,1,1,1,1,1.70913294961001e-7
cheetah,0,0,2,1,1,1,1,2,1.70913294961001e-7
cheetah,0,0,2,1,1,1,2,0,1.70913294961001e-7
cheetah,0,0,2,1,1,1,2,1,1.70913294961001e-7
cheetah,0,0,2,1,1,1,2,2,1.70913294961001e-7
cheetah,0,0,2,1,1,2,0,0,1.70913294961001e-7
cheetah,0,0,2,1,1,2,0,1,1.70913294961001e-7
cheetah,0,0,2,1,1,2,0,2,1.70913294961001e-7
cheetah,0,0,2,1,1,2,1,0,1.70913294961001e-7
cheetah,0,0,2,1,1,2,1,1,1.70913294961001e-7
cheetah,0,0,2,1,1,2,1,2,1.70913294961001e-7
cheetah,0,0,2,1,1,2,2,0,1.70913294961001e-7
cheetah,0,0,2,1,1,2,2,1,1.70913294961001e-7
cheetah,0,0,2,1,1,2,2,2,1.70913294961001e-7
cheetah,0,0,2,1,2,0,0,0,0.0000013989320184194327
cheetah,0,0,2,1,2,0,0,1,0.0000013989320184194327
cheetah,0,0,2,1,2,0,0,2,0.0000013989320184194327
cheetah,0,0,2,1,2,0,1,0,0.0000013989320184194327
cheetah,0,0,2,1,2,0,1,1,0.0000013989320184194327
cheetah,0,0,2,1,2,0,1,2,0.0000013989320184194327
cheetah,0,0,2,1,2,0,2,0,0.0000013989320184194327
cheetah,0,0,2,1,2,0,2,1,0.0000013989320184194327
cheetah,0,0,2,1,2,0,2,2,0.0000013989320184194327
cheetah,0,0,2,1,2,1,0,0,0.0000013989320184194327
cheetah,0,0,2,1,2,1,0,1,0.0000013989320184194327
cheetah,0,0,2,1,2,1,0,2,0.0000013989320184194327
cheetah,0,0,2,1,2,1,1,0,0.0000013989320184194327
cheetah,0,0,2,1,2,1,1,1,0.0000013989320184194327
cheetah,0,0,2,1,2,1,1,2,0.0000013989320184194327
cheetah,0,0,2,1,2,1,2,0,0.0000013989320184194327
cheetah,0,0,2,1,2,1,2,1,0.0000013989320184194327
cheetah,0,0,2,1,2,1,2,2,0.0000013989320184194327
cheetah,0,0,2,1,2,2,0,0,0.0000013989320184194327
cheetah,0,0,2,1,2,2,0,1,0.0000013989320184194327
cheetah,0,0,2,1,2,2,0,2,0.0000013989320184194327
cheetah,0,0,2,1,2,2,1,0,0.0000013989320184194327
cheetah,0,0,2,1,2,2,1,1,0.0000013989320184194327
cheetah,0,0,2,1,2,2,1,2,0.0000013989320184194327
cheetah,0,0,2,1,2,2,2,0,0.0000013989320184194327
cheetah,0,0,2,1,2,2,2,1,0.0000013989320184194327
cheetah,0,0,2,1,2,2,2,2,0.0000013989320184194327
cheetah,0,0,2,2,0,0,0,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,0,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,0,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,1,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,1,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,1,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,2,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,2,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,0,2,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,0,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,0,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,0,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,1,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,1,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,1,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,2,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,2,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,1,2,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,0,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,0,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,0,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,1,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,1,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,1,2,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,2,0,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,2,1,1.8914509000029294e-7
cheetah,0,0,2,2,0,2,2,2,1.8914509000029294e-7
cheetah,0,0,2,2,1,0,0,0,3.782717196170209e-7
cheetah,0,0,2,2,1,0,0,1,3.782717196170209e-7
cheetah,0,0,2,2,1,0,0,2,3.782717196170209e-7
cheetah,0,0,2,2,1,0,1,0,3.782717196170209e-7
cheetah,0,0,2,2,1,0,1,1,3.782717196170209e-7
cheetah,0,0,2,2,1,0,1,2,3.782717196170209e-7
cheetah,0,0,2,2,1,0,2,0,3.782717196170209e-7
cheetah,0,0,2,2,1,0,2,1,3.782717196170209e-7
cheetah,0,0,2,2,1,0,2,2,3.782717196170209e-7
cheetah,0,0,2,2,1,1,0,0,3.782717196170209e-7
cheetah,0,0,2,2,1,1,0,1,3.782717196170209e-7
cheetah,0,0,2,2,1,1,0,2,3.782717196170209e-7
cheetah,0,0,2,2,1,1,1,0,3.782717196170209e-7
cheetah,0,0,2,2,1,1,1,1,3.782717196170209e-7
cheetah,0,0,2,2,1,1,1,2,3.782717196170209e-7
cheetah,0,0,2,2,1,1,2,0,3.782717196170209e-7
cheetah,0,0,2,2,1,1,2,1,3.782717196170209e-7
cheetah,0,0,2,2,1,1,2,2,3.782717196170209e-7
cheetah,0,0,2,2,1,2,0,0,3.782717196170209e-7
cheetah,0,0,2,2,1,2,0,1,3.782717196170209e-7
cheetah,0,0,2,2,1,2,0,2,3.782717196170209e-7
cheetah,0,0,2,2,1,2,1,0,3.782717196170209e-7
cheetah,0,0,2,2,1,2,1,1,3.782717196170209e-7
cheetah,0,0,2,2,1,2,1,2,3.782717196170209e-7
cheetah,0,0,2,2,1,2,2,0,3.782717196170209e-7
cheetah,0,0,2,2,1,2,2,1,3.782717196170209e-7
cheetah,0,0,2,2,1,2,2,2,3.782717196170209e-7
cheetah,0,0,2,2,2,0,0,0,0.0000030347573798564886
cheetah,0,0,2,2,2,0,0,1,0.0000030347573798564886
cheetah,0,0,2,2,2,0,0,2,0.0000030347573798564886
cheetah,0,0,2,2,2,0,1,0,0.0000030347573798564886
cheetah,0,0,2,2,2,0,1,1,0.0000030347573798564886
cheetah,0,0,2,2,2,0,1,2,0.0000030347573798564886
cheetah,0,0,2,2,2,0,2,0,0.0000030347573798564886
cheetah,0,0,2,2,2,0,2,1,0.0000030347573798564886
cheetah,0,0,2,2,2,0,2,2,0.0000030347573798564886
cheetah,0,0,2,2,2,1,0,0,0.0000030347573798564886
cheetah,0,0,2,2,2,1,0,1,0.0000030347573798564886
cheetah,0,0,2,2,2,1,0,2,0.0000030347573798564886
cheetah,0,0,2,2,2,1,1,0,0.0000030347573798564886
cheetah,0,0,2,2,2,1,1,1,0.0000030347573798564886
cheetah,0,0,2,2,2,1,1,2,0.0000030347573798564886
cheetah,0,0,2,2,2,1,2,0,0.0000030347573798564886
cheetah,0,0,2,2,2,1,2,1,0.0000030347573798564886
cheetah,0,0,2,2,2,1,2,2,0.0000030347573798564886
cheetah,0,0,2,2,2,2,0,0,0.0000030347573798564886
cheetah,0,0,2,2,2,2,0,1,0.0000030347573798564886
cheetah,0,0,2,2,2,2,0,2,0.0000030347573798564886
cheetah,0,0,2,2,2,2,1,0,0.0000030347573798564886
cheetah,0,0,2,2,2,2,1,1,0.0000030347573798564886
cheetah,0,0,2,2,2,2,1,2,0.0000030347573798564886
cheetah,0,0,2,2,2,2,2,0,0.0000030347573798564886
cheetah,0,0,2,2,2,2,2,1,0.0000030347573798564886
cheetah,0,0,2,2,2,2,2,2,0.0000030347573798564886
cheetah,0,1,0,0,0,0,0,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,0,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,0,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,1,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,1,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,1,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,2,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,2,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,0,2,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,0,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,0,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,0,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,1,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,1,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,1,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,2,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,2,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,1,2,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,0,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,0,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,0,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,1,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,1,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,1,2,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,2,0,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,2,1,1.6613737958452304e-8
cheetah,0,1,0,0,0,2,2,2,1.6613737958452304e-8
cheetah,0,1,0,0,1,0,0,0,3.322562987854824e-8
cheetah,0,1,0,0,1,0,0,1,3.322562987854824e-8
cheetah,0,1,0,0,1,0,0,2,3.322562987854824e-8
cheetah,0,1,0,0,1,0,1,0,3.322562987854824e-8
cheetah,0,1,0,0,1,0,1,1,3.322562987854824e-8
cheetah,0,1,0,0,1,0,1,2,3.322562987854824e-8
cheetah,0,1,0,0,1,0,2,0,3.322562987854824e-8
cheetah,0,1,0,0,1,0,2,1,3.322562987854824e-8
cheetah,0,1,0,0,1,0,2,2,3.322562987854824e-8
cheetah,0,1,0,0,1,1,0,0,3.322562987854824e-8
cheetah,0,1,0,0,1,1,0,1,3.322562987854824e-8
cheetah,0,1,0,0,1,1,0,2,3.322562987854824e-8
cheetah,0,1,0,0,1,1,1,0,3.322562987854824e-8
cheetah,0,1,0,0,1,1,1,1,3.322562987854824e-8
cheetah,0,1,0,0,1,1,1,2,3.322562987854824e-8
cheetah,0,1,0,0,1,1,2,0,3.322562987854824e-8
cheetah,0,1,0,0,1,1,2,1,3.322562987854824e-8
cheetah,0,1,0,0,1,1,2,2,3.322562987854824e-8
cheetah,0,1,0,0,1,2,0,0,3.322562987854824e-8
cheetah,0,1,0,0,1,2,0,1,3.322562987854824e-8
cheetah,0,1,0,0,1,2,0,2,3.322562987854824e-8
cheetah,0,1,0,0,1,2,1,0,3.322562987854824e-8
cheetah,0,1,0,0,1,2,1,1,3.322562987854824e-8
cheetah,0,1,0,0,1,2,1,2,3.322562987854824e-8
cheetah,0,1,0,0,1,2,2,0,3.322562987854824e-8
cheetah,0,1,0,0,1,2,2,1,3.322562987854824e-8
cheetah,0,1,0,0,1,2,2,2,3.322562987854824e-8
cheetah,0,1,0,0,2,0,0,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,0,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,0,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,1,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,1,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,1,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,2,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,2,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,0,2,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,0,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,0,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,0,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,1,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,1,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,1,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,2,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,2,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,1,2,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,0,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,0,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,0,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,1,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,1,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,1,2,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,2,0,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,2,1,2.7356571444514964e-7
cheetah,0,1,0,0,2,2,2,2,2.7356571444514964e-7
cheetah,0,1,0,1,0,0,0,0,8.546126257639143e-8
cheetah,0,1,0,1,0,0,0,1,8.546126257639143e-8
cheetah,0,1,0,1,0,0,0,2,8.546126257639143e-8
cheetah,0,1,0,1,0,0,1,0,8.546126257639143e-8
cheetah,0,1,0,1,0,0,1,1,8.546126257639143e-8
cheetah,0,1,0,1,0,0,1,2,8.546126257639143e-8
cheetah,0,1,0,1,0,0,2,0,8.546126257639143e-8
cheetah,0,1,0,1,0,0,2,1,8.546126257639143e-8
cheetah,0,1,0,1,0,0,2,2,8.546126257639143e-8
cheetah,0,1,0,1,0,1,0,0,8.546126257639143e-8
cheetah,0,1,0,1,0,1,0,1,8.546126257639143e-8
cheetah,0,1,0,1,0,1,0,2,8.546126257639143e-8
cheetah,0,1,0,1,0,1,1,0,8.546126257639143e-8
cheetah,0,1,0,1,0,1,1,1,8.546126257639143e-8
cheetah,0,1,0,1,0,1,1,2,8.546126257639143e-8
cheetah,0,1,0,1,0,1,2,0,8.546126257639143e-8
cheetah,0,1,0,1,0,1,2,1,8.546126257639143e-8
cheetah,0,1,0,1,0,1,2,2,8.546126257639143e-8
cheetah,0,1,0,1,0,2,0,0,8.546126257639143e-8
cheetah,0,1,0,1,0,2,0,1,8.546126257639143e-8
cheetah,0,1,0,1,0,2,0,2,8.546126257639143e-8
cheetah,0,1,0,1,0,2,1,0,8.546126257639143e-8
cheetah,0,1,0,1,0,2,1,1,8.546126257639143e-8
cheetah,0,1,0,1,0,2,1,2,8.546126257639143e-8
cheetah,0,1,0,1,0,2,2,0,8.546126257639143e-8
cheetah,0,1,0,1,0,2,2,1,8.546126257639143e-8
cheetah,0,1,0,1,0,2,2,2,8.546126257639143e-8
cheetah,0,1,0,1,1,0,0,0,1.70913294961001e-7
cheetah,0,1,0,1,1,0,0,1,1.70913294961001e-7
cheetah,0,1,0,1,1,0,0,2,1.70913294961001e-7
cheetah,0,1,0,1,1,0,1,0,1.70913294961001e-7
cheetah,0,1,0,1,1,0,1,1,1.70913294961001e-7
cheetah,0,1,0,1,1,0,1,2,1.70913294961001e-7
cheetah,0,1,0,1,1,0,2,0,1.70913294961001e-7
cheetah,0,1,0,1,1,0,2,1,1.70913294961001e-7
cheetah,0,1,0,1,1,0,2,2,1.70913294961001e-7
cheetah,0,1,0,1,1,1,0,0,1.70913294961001e-7
cheetah,0,1,0,1,1,1,0,1,1.70913294961001e-7
cheetah,0,1,0,1,1,1,0,2,1.70913294961001e-7
cheetah,0,1,0,1,1,1,1,0,1.70913294961001e-7
cheetah,0,1,0,1,1,1,1,1,1.70913294961001e-7
cheetah,0,1,0,1,1,1,1,2,1.70913294961001e-7
cheetah,0,1,0,1,1,1,2,0,1.70913294961001e-7
cheetah,0,1,0,1,1,1,2,1,1.70913294961001e-7
cheetah,0,1,0,1,1,1,2,2,1.70913294961001e-7
cheetah,0,1,0,1,1,2,0,0,1.70913294961001e-7
cheetah,0,1,0,1,1,2,0,1,1.70913294961001e-7
cheetah,0,1,0,1,1,2,0,2,1.70913294961001e-7
cheetah,0,1,0,1,1,2,1,0,1.70913294961001e-7
cheetah,0,1,0,1,1,2,1,1,1.70913294961001e-7
cheetah,0,1,0,1,1,2,1,2,1.70913294961001e-7
cheetah,0,1,0,1,1,2,2,0,1.70913294961001e-7
